,rust-lang/rust,apple/swift,JetBrains/kotlin
2019-01-17,45,64,41
2019-01-18,82,80,31
2019-01-19,99,27,2
2019-01-20,55,25,1
2019-01-21,72,36,20
2019-01-22,102,82,10
2019-01-23,61,42,12
2019-01-24,76,46,34
2019-01-25,92,50,31
2019-01-26,111,60,3
2019-01-27,82,20,1
2019-01-28,65,46,48
2019-01-29,59,76,20
2019-01-30,72,59,25
2019-01-31,66,41,42
2019-02-01,107,62,19
2019-02-02,37,19,0
2019-02-03,69,25,5
2019-02-04,47,70,13
2019-02-05,79,76,26
2019-02-06,66,67,24
2019-02-07,131,62,30
2019-02-08,93,76,1
2019-02-09,68,9,0
2019-02-10,75,10,17
2019-02-11,83,66,6
2019-02-12,78,79,31
2019-02-13,106,55,25
2019-02-14,72,77,107
2019-02-15,41,48,35
2019-02-16,53,31,1
2019-02-17,60,24,22
2019-02-18,112,57,49
2019-02-19,42,98,81
2019-02-20,87,83,20
2019-02-21,70,67,26
2019-02-22,54,82,39
2019-02-23,83,38,1
2019-02-24,90,22,1
2019-02-25,58,87,116
2019-02-26,48,57,26
2019-02-27,81,48,22
2019-02-28,37,57,29
2019-03-01,50,69,33
2019-03-02,56,42,7
2019-03-03,59,18,2
2019-03-04,57,47,80
2019-03-05,71,77,52
2019-03-06,45,76,41
2019-03-07,56,61,33
2019-03-08,56,37,25
2019-03-09,39,11,2
2019-03-10,44,12,0
2019-03-11,50,42,16
2019-03-12,68,60,17
2019-03-13,56,62,30
2019-03-14,49,56,50
2019-03-15,109,64,56
2019-03-16,93,9,3
2019-03-17,51,19,0
2019-03-18,80,78,31
2019-03-19,64,47,49
2019-03-20,66,37,83
2019-03-21,58,54,58
2019-03-22,46,64,69
2019-03-23,60,26,10
2019-03-24,46,10,2
2019-03-25,72,52,45
2019-03-26,78,69,25
2019-03-27,60,101,41
2019-03-28,87,61,35
2019-03-29,91,79,34
2019-03-30,74,12,3
2019-03-31,49,26,3
2019-04-01,46,60,11
2019-04-02,87,80,29
2019-04-03,68,88,531
2019-04-04,67,44,68
2019-04-05,50,44,34
2019-04-06,36,44,6
2019-04-07,52,22,0
2019-04-08,47,41,29
2019-04-09,59,73,31
2019-04-10,51,48,67
2019-04-11,63,67,39
2019-04-12,74,53,30
2019-04-13,60,22,8
2019-04-14,92,28,0
2019-04-15,45,31,21
2019-04-16,64,56,30
2019-04-17,109,102,54
2019-04-18,73,44,28
2019-04-19,87,51,35
2019-04-20,51,36,0
2019-04-21,67,11,1
2019-04-22,75,35,62
2019-04-23,75,79,52
2019-04-24,74,85,31
2019-04-25,84,51,51
2019-04-26,51,55,37
2019-04-27,30,18,0
2019-04-28,43,5,1
2019-04-29,46,27,45
2019-04-30,74,26,154
2019-05-01,102,46,8
2019-05-02,98,62,4
2019-05-03,44,59,7
2019-05-04,104,37,1
2019-05-05,33,13,1
2019-05-06,41,58,62
2019-05-07,40,70,22
2019-05-08,39,59,21
2019-05-09,73,58,17
2019-05-10,57,64,7
2019-05-11,53,22,1
2019-05-12,44,13,0
2019-05-13,61,55,43
2019-05-14,62,86,34
2019-05-15,55,55,27
2019-05-16,57,51,15
2019-05-17,61,36,18
2019-05-18,45,29,70
2019-05-19,54,19,1
2019-05-20,100,57,28
2019-05-21,93,60,30
2019-05-22,75,44,30
2019-05-23,105,75,73
2019-05-24,59,36,43
2019-05-25,88,16,20
2019-05-26,51,15,7
2019-05-27,99,10,19
2019-05-28,115,36,124
2019-05-29,69,84,51
2019-05-30,63,56,85
2019-05-31,55,65,38
2019-06-01,64,36,0
2019-06-02,54,39,3
2019-06-03,84,41,38
2019-06-04,96,40,41
2019-06-05,64,61,47
2019-06-06,68,41,21
2019-06-07,44,17,37
2019-06-08,84,19,8
2019-06-09,71,12,1
2019-06-10,61,56,36
2019-06-11,93,65,27
2019-06-12,100,112,4
2019-06-13,44,66,49
2019-06-14,61,100,29
2019-06-15,85,22,5
2019-06-16,70,3,3
2019-06-17,30,48,26
2019-06-18,54,71,66
2019-06-19,65,49,36
2019-06-20,64,61,28
2019-06-21,75,37,19
2019-06-22,72,25,0
2019-06-23,44,15,0
2019-06-24,64,71,27
2019-06-25,52,50,49
2019-06-26,85,91,52
2019-06-27,29,69,70
2019-06-28,22,76,13
2019-06-29,52,30,7
2019-06-30,61,20,0
2019-07-01,43,64,28
2019-07-02,110,48,47
2019-07-03,91,41,14
2019-07-04,70,24,23
2019-07-05,61,19,15
2019-07-06,111,21,1
2019-07-07,86,13,0
2019-07-08,47,38,58
2019-07-09,77,70,26
2019-07-10,97,45,92
2019-07-11,56,41,36
2019-07-12,50,59,35
2019-07-13,49,53,2
2019-07-14,45,7,0
2019-07-15,81,17,13
2019-07-16,44,98,22
2019-07-17,48,54,66
2019-07-18,60,47,15
2019-07-19,57,53,25
2019-07-20,61,10,0
2019-07-21,38,4,1
2019-07-22,69,36,17
2019-07-23,62,53,16
2019-07-24,75,47,19
2019-07-25,64,60,59
2019-07-26,81,36,43
2019-07-27,69,15,3
2019-07-28,129,7,0
2019-07-29,71,27,10
2019-07-30,82,42,107
2019-07-31,61,46,21
2019-08-01,82,31,91
2019-08-02,103,59,20
2019-08-03,60,10,7
2019-08-04,69,2,2
2019-08-05,95,35,31
2019-08-06,88,58,57
2019-08-07,42,70,19
2019-08-08,84,42,6
2019-08-09,93,59,13
2019-08-10,91,29,0
2019-08-11,74,11,1
2019-08-12,101,66,22
2019-08-13,67,90,22
2019-08-14,81,48,18
2019-08-15,91,56,18
2019-08-16,70,39,13
2019-08-17,73,30,0
2019-08-18,46,2,0
2019-08-19,108,74,16
2019-08-20,72,84,22
2019-08-21,85,65,18
2019-08-22,81,66,47
2019-08-23,42,71,31
2019-08-24,80,31,1
2019-08-25,62,24,2
2019-08-26,68,103,6
2019-08-27,55,109,86
2019-08-28,59,100,15
2019-08-29,71,91,17
2019-08-30,63,86,91
2019-08-31,47,30,0
2019-09-01,34,21,9
2019-09-02,36,11,64
2019-09-03,65,61,51
2019-09-04,62,61,6
2019-09-05,123,51,40
2019-09-06,66,77,35
2019-09-07,79,50,2
2019-09-08,45,7,1
2019-09-09,82,24,16
2019-09-10,64,53,27
2019-09-11,45,43,25
2019-09-12,42,49,12
2019-09-13,47,77,45
2019-09-14,68,82,0
2019-09-15,56,7,1
2019-09-16,95,28,63
2019-09-17,87,60,39
2019-09-18,56,70,51
2019-09-19,72,44,17
2019-09-20,46,62,25
2019-09-21,49,56,1
2019-09-22,56,0,1
2019-09-23,74,89,30
2019-09-24,70,94,53
2019-09-25,119,68,44
2019-09-26,84,70,17
2019-09-27,57,42,66
2019-09-28,128,21,5
2019-09-29,63,10,27
2019-09-30,100,29,44
2019-10-01,82,42,33
2019-10-02,132,73,46
2019-10-03,82,58,35
2019-10-04,78,30,37
2019-10-05,34,8,6
2019-10-06,55,4,0
2019-10-07,84,9,12
2019-10-08,83,72,69
2019-10-09,50,44,25
2019-10-10,59,78,42
2019-10-11,101,65,49
2019-10-12,39,35,6
2019-10-13,78,15,3
2019-10-14,66,88,41
2019-10-15,113,68,10
2019-10-16,66,65,22
2019-10-17,91,61,50
2019-10-18,112,36,40
2019-10-19,60,23,3
2019-10-20,55,9,1
2019-10-21,65,45,71
2019-10-22,98,51,10
2019-10-23,88,26,43
2019-10-24,103,33,52
2019-10-25,138,34,23
2019-10-26,65,14,3
2019-10-27,63,8,1
2019-10-28,80,27,50
2019-10-29,87,68,87
2019-10-30,57,84,32
2019-10-31,64,60,59
2019-11-01,69,45,61
2019-11-02,37,32,0
2019-11-03,65,25,0
2019-11-04,83,53,5
2019-11-05,100,90,34
2019-11-06,102,99,29
2019-11-07,111,49,40
2019-11-08,76,57,59
2019-11-09,51,38,2
2019-11-10,51,24,4
2019-11-11,85,74,47
2019-11-12,93,76,39
2019-11-13,89,73,31
2019-11-14,86,67,49
2019-11-15,150,62,12
2019-11-16,59,58,1
2019-11-17,74,32,1
2019-11-18,84,49,29
2019-11-19,73,77,70
2019-11-20,59,54,46
2019-11-21,76,94,41
2019-11-22,101,54,42
2019-11-23,84,9,4
2019-11-24,95,10,0
2019-11-25,84,1,57
2019-11-26,99,7,48
2019-11-27,114,6,59
2019-11-28,74,2,45
2019-11-29,70,1,75
2019-11-30,72,4,3
2019-12-01,51,6,2
2019-12-02,153,55,40
2019-12-03,112,58,48
2019-12-04,87,70,13
2019-12-05,53,45,26
2019-12-06,117,47,15
2019-12-07,47,30,0
2019-12-08,67,12,0
2019-12-09,56,31,23
2019-12-10,44,30,39
2019-12-11,51,84,45
2019-12-12,85,77,51
2019-12-13,74,77,29
2019-12-14,29,26,1
2019-12-15,47,15,3
2019-12-16,59,33,70
2019-12-17,24,51,67
2019-12-18,70,47,45
2019-12-19,67,84,58
2019-12-20,148,67,23
2019-12-21,111,10,3
2019-12-22,92,5,1
2019-12-23,133,6,22
2019-12-24,47,2,28
2019-12-25,71,2,76
2019-12-26,84,2,40
2019-12-27,65,8,55
2019-12-28,35,6,3
2019-12-29,36,0,1
2019-12-30,119,2,18
2019-12-31,131,1,5
2020-01-01,30,4,0
2020-01-02,35,66,3
2020-01-03,65,40,8
2020-01-04,82,26,0
2020-01-05,50,13,0
2020-01-06,51,38,2
2020-01-07,126,35,5
2020-01-08,107,36,15
2020-01-09,105,64,64
2020-01-10,118,86,45
2020-01-11,130,31,1
2020-01-12,67,19,1
2020-01-13,71,52,28
2020-01-14,71,101,58
2020-01-15,111,46,47
2020-01-16,86,68,51
2020-01-17,49,75,93
2020-01-18,55,35,4
2020-01-19,52,35,6
2020-01-20,71,22,38
2020-01-21,48,63,54
2020-01-22,35,100,51
2020-01-23,52,88,69
2020-01-24,45,99,119
2020-01-25,43,27,4
2020-01-26,36,26,11
2020-01-27,54,70,54
2020-01-28,63,69,60
2020-01-29,77,84,67
2020-01-30,58,40,44
2020-01-31,44,54,29
2020-02-01,68,34,9
2020-02-02,99,33,1
2020-02-03,89,71,24
2020-02-04,62,75,41
2020-02-05,83,59,44
2020-02-06,120,57,116
2020-02-07,92,62,56
2020-02-08,78,48,3
2020-02-09,103,23,7
2020-02-10,80,18,53
2020-02-11,108,58,107
2020-02-12,145,70,173
2020-02-13,114,75,90
2020-02-14,106,74,107
2020-02-15,79,18,12
2020-02-16,86,50,3
2020-02-17,111,35,55
2020-02-18,81,91,67
2020-02-19,103,70,56
2020-02-20,49,74,83
2020-02-21,97,74,52
2020-02-22,87,25,5
2020-02-23,69,15,4
2020-02-24,95,72,4
2020-02-25,37,64,42
2020-02-26,77,73,60
2020-02-27,78,57,37
2020-02-28,95,60,69
2020-02-29,89,15,14
2020-03-01,67,8,4
2020-03-02,83,50,35
2020-03-03,92,78,81
2020-03-04,123,57,54
2020-03-05,68,99,51
2020-03-06,72,61,60
2020-03-07,89,16,4
2020-03-08,84,9,1
2020-03-09,82,36,8
2020-03-10,119,58,48
2020-03-11,97,71,54
2020-03-12,77,57,65
2020-03-13,75,53,32
2020-03-14,123,29,1
2020-03-15,60,9,1
2020-03-16,125,32,129
2020-03-17,95,55,26
2020-03-18,88,69,49
2020-03-19,116,76,44
2020-03-20,66,73,75
2020-03-21,137,29,0
2020-03-22,84,14,3
2020-03-23,145,49,59
2020-03-24,134,72,60
2020-03-25,95,52,71
2020-03-26,136,43,92
2020-03-27,93,74,39
2020-03-28,75,28,28
2020-03-29,80,18,5
2020-03-30,115,27,115
2020-03-31,142,47,73
2020-04-01,98,52,33
2020-04-02,124,26,76
2020-04-03,77,70,73
2020-04-04,64,22,3
2020-04-05,126,8,3
2020-04-06,86,80,33
2020-04-07,86,61,67
2020-04-08,91,101,71
2020-04-09,101,83,78
2020-04-10,105,94,23
2020-04-11,97,38,15
2020-04-12,59,13,0
2020-04-13,84,39,77
2020-04-14,99,83,56
2020-04-15,93,68,80
2020-04-16,91,72,61
2020-04-17,94,74,74
2020-04-18,111,28,12
2020-04-19,73,18,4
2020-04-20,101,83,48
2020-04-21,44,59,79
2020-04-22,112,59,40
2020-04-23,129,72,78
2020-04-24,75,96,36
2020-04-25,100,36,3
2020-04-26,87,19,7
2020-04-27,162,30,27
2020-04-28,76,46,75
2020-04-29,81,79,51
2020-04-30,75,89,20
2020-05-01,122,55,7
2020-05-02,109,54,0
2020-05-03,89,18,0
2020-05-04,99,64,16
2020-05-05,100,69,0
2020-05-06,95,101,41
2020-05-07,82,80,74
2020-05-08,91,43,63
2020-05-09,79,25,7
2020-05-10,102,15,1
2020-05-11,66,48,3
2020-05-12,49,70,95
2020-05-13,47,74,47
2020-05-14,82,60,43
2020-05-15,24,57,49
2020-05-16,80,15,1
2020-05-17,80,8,2
2020-05-18,70,54,53
2020-05-19,77,65,38
2020-05-20,103,52,54
2020-05-21,82,50,35
2020-05-22,122,72,8
2020-05-23,54,30,5
2020-05-24,96,14,26
2020-05-25,111,13,55
2020-05-26,77,41,187
2020-05-27,72,23,38
2020-05-28,69,79,66
2020-05-29,117,99,56
2020-05-30,96,37,10
2020-05-31,118,39,19
2020-06-01,51,31,73
2020-06-02,58,47,60
2020-06-03,66,42,91
2020-06-04,61,40,39
2020-06-05,75,41,52
2020-06-06,32,20,6
2020-06-07,53,7,9
2020-06-08,86,49,41
2020-06-09,72,66,78
2020-06-10,68,65,31
2020-06-11,97,75,47
2020-06-12,58,77,1
2020-06-13,69,14,6
2020-06-14,39,4,27
2020-06-15,117,43,64
2020-06-16,75,63,71
2020-06-17,38,70,60
2020-06-18,91,42,45
2020-06-19,104,40,136
2020-06-20,131,11,0
2020-06-21,46,1,0
2020-06-22,75,50,40
2020-06-23,124,39,42
2020-06-24,122,36,156
2020-06-25,85,52,31
2020-06-26,104,47,62
2020-06-27,89,14,4
2020-06-28,85,8,1
2020-06-29,29,52,105
2020-06-30,99,62,50
2020-07-01,96,73,31
2020-07-02,121,67,61
2020-07-03,101,56,30
2020-07-04,55,5,14
2020-07-05,51,8,1
2020-07-06,36,17,37
2020-07-07,59,26,38
2020-07-08,40,33,27
2020-07-09,86,52,45
2020-07-10,53,48,32
2020-07-11,75,15,6
2020-07-12,39,6,1
2020-07-13,36,32,39
2020-07-14,112,35,50
2020-07-15,131,46,39
2020-07-16,165,59,47
