,seleniumhq/selenium,scrapy/scrapy,microlinkhq/metascraper
2019-02-13,10,6,0
2019-02-14,0,2,0
2019-02-15,0,0,0
2019-02-16,0,1,0
2019-02-17,4,0,0
2019-02-18,16,0,0
2019-02-19,7,0,0
2019-02-20,7,1,0
2019-02-21,3,0,0
2019-02-22,5,0,0
2019-02-23,0,0,0
2019-02-24,0,0,0
2019-02-25,5,0,0
2019-02-26,0,0,0
2019-02-27,2,1,0
2019-02-28,0,1,0
2019-03-01,1,2,0
2019-03-02,0,0,0
2019-03-03,1,0,0
2019-03-04,0,5,0
2019-03-05,3,0,0
2019-03-06,17,3,0
2019-03-07,3,1,0
2019-03-08,3,5,0
2019-03-09,9,0,0
2019-03-10,0,2,0
2019-03-11,1,1,0
2019-03-12,0,0,0
2019-03-13,2,4,0
2019-03-14,0,9,0
2019-03-15,0,11,0
2019-03-16,0,1,4
2019-03-17,0,1,7
2019-03-18,0,0,1
2019-03-19,20,0,1
2019-03-20,0,3,1
2019-03-21,0,0,0
2019-03-22,0,30,0
2019-03-23,0,0,0
2019-03-24,0,0,0
2019-03-25,5,11,0
2019-03-26,11,7,1
2019-03-27,4,8,0
2019-03-28,0,4,0
2019-03-29,4,15,0
2019-03-30,1,0,0
2019-03-31,0,0,3
2019-04-01,3,4,0
2019-04-02,16,1,0
2019-04-03,4,1,3
2019-04-04,3,0,3
2019-04-05,3,7,0
2019-04-06,2,5,0
2019-04-07,19,0,0
2019-04-08,9,1,0
2019-04-09,6,2,0
2019-04-10,7,3,0
2019-04-11,31,1,0
2019-04-12,0,2,0
2019-04-13,6,2,0
2019-04-14,2,0,0
2019-04-15,4,0,0
2019-04-16,4,0,0
2019-04-17,13,4,0
2019-04-18,31,3,0
2019-04-19,0,0,0
2019-04-20,1,1,0
2019-04-21,0,0,0
2019-04-22,3,0,0
2019-04-23,1,0,0
2019-04-24,6,0,0
2019-04-25,4,0,0
2019-04-26,5,0,0
2019-04-27,0,0,0
2019-04-28,4,0,3
2019-04-29,1,1,0
2019-04-30,5,0,0
2019-05-01,6,0,0
2019-05-02,14,0,0
2019-05-03,12,4,0
2019-05-04,2,1,0
2019-05-05,1,1,16
2019-05-06,3,0,0
2019-05-07,3,2,2
2019-05-08,3,1,0
2019-05-09,0,3,9
2019-05-10,1,0,3
2019-05-11,1,0,12
2019-05-12,0,0,4
2019-05-13,6,0,12
2019-05-14,2,0,0
2019-05-15,1,0,2
2019-05-16,1,1,0
2019-05-17,1,1,3
2019-05-18,0,0,0
2019-05-19,0,0,0
2019-05-20,2,0,4
2019-05-21,3,0,0
2019-05-22,2,0,0
2019-05-23,0,1,0
2019-05-24,0,4,0
2019-05-25,0,3,0
2019-05-26,0,0,0
2019-05-27,2,3,0
2019-05-28,3,2,3
2019-05-29,3,0,1
2019-05-30,3,0,2
2019-05-31,4,0,3
2019-06-01,2,0,0
2019-06-02,0,0,0
2019-06-03,11,1,0
2019-06-04,3,4,0
2019-06-05,5,5,4
2019-06-06,4,2,0
2019-06-07,0,2,0
2019-06-08,0,0,1
2019-06-09,0,0,0
2019-06-10,2,0,0
2019-06-11,1,5,0
2019-06-12,0,2,4
2019-06-13,7,4,0
2019-06-14,3,0,2
2019-06-15,0,0,0
2019-06-16,5,1,0
2019-06-17,6,2,0
2019-06-18,0,0,0
2019-06-19,3,0,5
2019-06-20,12,2,8
2019-06-21,2,0,0
2019-06-22,0,0,0
2019-06-23,1,0,0
2019-06-24,7,2,0
2019-06-25,0,12,0
2019-06-26,1,7,0
2019-06-27,4,0,0
2019-06-28,3,0,0
2019-06-29,1,0,2
2019-06-30,0,0,0
2019-07-01,12,0,0
2019-07-02,0,2,0
2019-07-03,8,0,0
2019-07-04,25,2,3
2019-07-05,0,1,0
2019-07-06,0,3,0
2019-07-07,0,0,0
2019-07-08,12,14,0
2019-07-09,12,5,0
2019-07-10,5,2,5
2019-07-11,10,5,2
2019-07-12,10,2,2
2019-07-13,9,5,0
2019-07-14,0,5,0
2019-07-15,0,1,0
2019-07-16,6,3,0
2019-07-17,8,4,0
2019-07-18,6,7,0
2019-07-19,2,1,0
2019-07-20,6,0,2
2019-07-21,1,0,0
2019-07-22,2,2,0
2019-07-23,0,4,0
2019-07-24,3,0,0
2019-07-25,0,0,0
2019-07-26,4,1,0
2019-07-27,2,0,0
2019-07-28,0,0,0
2019-07-29,0,2,0
2019-07-30,0,1,0
2019-07-31,0,4,1
2019-08-01,13,2,3
2019-08-02,6,1,0
2019-08-03,13,1,0
2019-08-04,0,0,0
2019-08-05,5,4,0
2019-08-06,0,1,0
2019-08-07,0,2,0
2019-08-08,14,6,0
2019-08-09,1,9,0
2019-08-10,0,1,0
2019-08-11,0,0,0
2019-08-12,0,1,0
2019-08-13,9,4,0
2019-08-14,0,0,0
2019-08-15,0,2,0
2019-08-16,0,0,0
2019-08-17,0,0,0
2019-08-18,1,1,0
2019-08-19,2,6,0
2019-08-20,0,0,0
2019-08-21,0,2,0
2019-08-22,2,3,3
2019-08-23,0,0,0
2019-08-24,9,0,0
2019-08-25,0,0,0
2019-08-26,4,1,0
2019-08-27,12,3,0
2019-08-28,6,3,0
2019-08-29,0,5,0
2019-08-30,2,3,6
2019-08-31,1,2,0
2019-09-01,0,0,0
2019-09-02,1,0,0
2019-09-03,5,0,0
2019-09-04,13,0,0
2019-09-05,8,0,0
2019-09-06,4,1,0
2019-09-07,0,1,0
2019-09-08,2,0,0
2019-09-09,6,6,0
2019-09-10,7,3,0
2019-09-11,5,0,0
2019-09-12,0,1,7
2019-09-13,0,2,4
2019-09-14,0,0,0
2019-09-15,11,0,0
2019-09-16,6,6,0
2019-09-17,2,5,0
2019-09-18,6,0,0
2019-09-19,6,3,0
2019-09-20,2,3,0
2019-09-21,8,0,0
2019-09-22,0,0,0
2019-09-23,1,0,2
2019-09-24,5,0,0
2019-09-25,14,3,0
2019-09-26,6,0,0
2019-09-27,3,1,0
2019-09-28,8,1,0
2019-09-29,12,0,2
2019-09-30,2,1,0
2019-10-01,13,7,0
2019-10-02,5,3,0
2019-10-03,7,0,0
2019-10-04,7,0,0
2019-10-05,5,1,0
2019-10-06,2,0,0
2019-10-07,7,2,0
2019-10-08,1,1,0
2019-10-09,1,3,0
2019-10-10,2,2,0
2019-10-11,5,0,0
2019-10-12,6,0,0
2019-10-13,0,1,0
2019-10-14,4,5,0
2019-10-15,16,4,0
2019-10-16,3,5,0
2019-10-17,9,0,4
2019-10-18,4,1,4
2019-10-19,2,0,0
2019-10-20,0,0,8
2019-10-21,7,9,0
2019-10-22,1,22,0
2019-10-23,0,1,3
2019-10-24,0,1,5
2019-10-25,2,0,3
2019-10-26,1,0,2
2019-10-27,2,7,0
2019-10-28,2,12,0
2019-10-29,3,3,4
2019-10-30,20,2,0
2019-10-31,2,19,0
2019-11-01,3,5,0
2019-11-02,0,0,0
2019-11-03,6,19,0
2019-11-04,3,2,0
2019-11-05,9,3,0
2019-11-06,0,1,0
2019-11-07,2,5,11
2019-11-08,4,6,4
2019-11-09,0,2,6
2019-11-10,0,0,0
2019-11-11,10,8,6
2019-11-12,10,9,3
2019-11-13,3,5,3
2019-11-14,1,29,0
2019-11-15,1,3,0
2019-11-16,4,0,0
2019-11-17,5,1,0
2019-11-18,2,8,0
2019-11-19,4,18,5
2019-11-20,1,14,0
2019-11-21,1,13,0
2019-11-22,1,5,0
2019-11-23,2,4,0
2019-11-24,0,0,0
2019-11-25,1,5,0
2019-11-26,0,1,0
2019-11-27,2,3,0
2019-11-28,3,1,0
2019-11-29,6,1,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,6,3,0
2019-12-03,2,2,0
2019-12-04,1,20,0
2019-12-05,0,11,0
2019-12-06,1,0,0
2019-12-07,0,0,0
2019-12-08,1,0,0
2019-12-09,0,0,0
2019-12-10,0,1,0
2019-12-11,1,0,0
2019-12-12,0,0,1
2019-12-13,0,10,4
2019-12-14,1,2,0
2019-12-15,0,1,2
2019-12-16,0,6,0
2019-12-17,1,8,2
2019-12-18,0,21,0
2019-12-19,1,11,0
2019-12-20,0,4,0
2019-12-21,1,2,6
2019-12-22,0,0,0
2019-12-23,1,15,2
2019-12-24,0,0,0
2019-12-25,0,0,0
2019-12-26,1,6,1
2019-12-27,1,3,0
2019-12-28,0,0,3
2019-12-29,0,3,0
2019-12-30,0,5,2
2019-12-31,0,2,0
2020-01-01,3,0,5
2020-01-02,2,0,3
2020-01-03,8,2,4
2020-01-04,11,0,0
2020-01-05,0,1,0
2020-01-06,5,0,0
2020-01-07,2,0,6
2020-01-08,10,0,0
2020-01-09,3,8,0
2020-01-10,4,4,0
2020-01-11,1,0,1
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,3
2020-01-15,3,6,1
2020-01-16,15,6,0
2020-01-17,0,3,2
2020-01-18,0,2,5
2020-01-19,0,0,0
2020-01-20,0,3,0
2020-01-21,1,0,2
2020-01-22,0,3,2
2020-01-23,4,5,0
2020-01-24,0,7,0
2020-01-25,0,2,0
2020-01-26,0,4,0
2020-01-27,1,10,0
2020-01-28,0,2,0
2020-01-29,0,6,0
2020-01-30,2,2,0
2020-01-31,0,1,0
2020-02-01,0,0,4
2020-02-02,0,1,9
2020-02-03,0,6,0
2020-02-04,14,1,0
2020-02-05,0,8,0
2020-02-06,0,15,0
2020-02-07,0,19,0
2020-02-08,1,0,0
2020-02-09,0,0,0
2020-02-10,0,12,0
2020-02-11,0,1,0
2020-02-12,2,3,0
2020-02-13,0,3,3
2020-02-14,2,2,0
2020-02-15,3,0,0
2020-02-16,0,0,0
2020-02-17,1,1,7
2020-02-18,0,3,0
2020-02-19,0,7,0
2020-02-20,0,0,0
2020-02-21,0,6,5
2020-02-22,0,6,0
2020-02-23,0,4,0
2020-02-24,2,2,0
2020-02-25,0,8,0
2020-02-26,1,0,0
2020-02-27,1,3,0
2020-02-28,4,4,0
2020-02-29,1,0,0
2020-03-01,0,1,2
2020-03-02,1,0,0
2020-03-03,1,5,0
2020-03-04,3,5,0
2020-03-05,7,1,3
2020-03-06,1,0,0
2020-03-07,3,3,0
2020-03-08,2,0,0
2020-03-09,1,2,0
2020-03-10,6,0,0
2020-03-11,2,4,0
2020-03-12,9,8,0
2020-03-13,5,2,0
2020-03-14,0,2,0
2020-03-15,0,1,0
2020-03-16,4,4,0
2020-03-17,13,2,0
2020-03-18,4,1,0
2020-03-19,2,2,3
2020-03-20,10,4,0
2020-03-21,3,0,0
2020-03-22,9,0,0
2020-03-23,2,3,0
2020-03-24,2,2,0
2020-03-25,1,1,0
2020-03-26,0,2,0
2020-03-27,1,4,0
2020-03-28,0,1,0
2020-03-29,0,0,0
2020-03-30,15,1,0
2020-03-31,38,0,0
2020-04-01,8,1,0
2020-04-02,7,0,0
2020-04-03,17,0,0
2020-04-04,4,0,4
2020-04-05,11,3,0
2020-04-06,9,3,0
2020-04-07,8,0,0
2020-04-08,3,0,0
2020-04-09,12,0,0
2020-04-10,3,8,0
2020-04-11,5,0,0
2020-04-12,16,1,0
2020-04-13,5,2,0
2020-04-14,13,2,2
2020-04-15,4,21,0
2020-04-16,4,16,0
2020-04-17,9,3,0
2020-04-18,12,3,0
2020-04-19,8,1,0
2020-04-20,12,2,0
2020-04-21,2,0,0
2020-04-22,1,0,0
2020-04-23,15,1,0
2020-04-24,5,2,0
2020-04-25,21,0,1
2020-04-26,8,0,0
2020-04-27,7,5,5
2020-04-28,10,11,0
2020-04-29,17,0,0
2020-04-30,1,0,2
2020-05-01,16,4,0
2020-05-02,0,0,0
2020-05-03,4,1,0
2020-05-04,7,5,4
2020-05-05,1,2,0
2020-05-06,10,36,0
2020-05-07,3,15,0
2020-05-08,1,13,5
2020-05-09,1,5,0
2020-05-10,0,1,0
2020-05-11,3,10,0
2020-05-12,14,5,0
2020-05-13,2,6,0
2020-05-14,0,9,0
2020-05-15,3,12,0
2020-05-16,1,1,0
2020-05-17,0,0,0
2020-05-18,2,3,0
2020-05-19,40,4,0
2020-05-20,19,5,0
2020-05-21,0,3,0
2020-05-22,3,4,0
2020-05-23,1,0,0
2020-05-24,3,1,4
2020-05-25,2,1,0
2020-05-26,2,1,0
2020-05-27,9,6,0
2020-05-28,13,0,0
2020-05-29,1,1,0
2020-05-30,1,0,6
2020-05-31,1,1,4
2020-06-01,5,3,3
2020-06-02,2,2,0
2020-06-03,1,1,0
2020-06-04,4,1,0
2020-06-05,7,1,0
2020-06-06,0,1,8
2020-06-07,0,1,0
2020-06-08,2,1,0
2020-06-09,2,1,0
2020-06-10,2,2,3
2020-06-11,2,1,2
2020-06-12,0,0,11
2020-06-13,2,2,0
2020-06-14,0,3,3
2020-06-15,1,0,2
2020-06-16,9,0,0
2020-06-17,0,5,0
2020-06-18,9,4,0
2020-06-19,7,1,0
2020-06-20,0,3,0
2020-06-21,0,1,0
2020-06-22,4,4,0
2020-06-23,0,4,4
2020-06-24,2,5,3
2020-06-25,0,1,0
2020-06-26,1,2,0
2020-06-27,0,3,0
2020-06-28,0,3,0
2020-06-29,3,5,3
2020-06-30,0,3,0
2020-07-01,6,10,0
2020-07-02,2,4,3
2020-07-03,0,1,0
2020-07-04,0,0,4
2020-07-05,0,0,2
2020-07-06,0,6,0
2020-07-07,11,8,0
2020-07-08,4,5,9
2020-07-09,1,2,0
2020-07-10,6,2,1
2020-07-11,8,1,0
2020-07-12,0,1,0
2020-07-13,5,7,0
2020-07-14,5,3,0
2020-07-15,9,3,0
2020-07-16,9,9,0
2020-07-17,6,2,3
2020-07-18,1,1,0
2020-07-19,2,0,0
2020-07-20,8,1,7
2020-07-21,14,6,0
2020-07-22,4,7,0
2020-07-23,4,1,0
2020-07-24,3,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,1,0,0
2020-07-28,1,2,3
2020-07-29,3,6,0
2020-07-30,1,8,2
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,1,0,0
2020-08-03,2,0,3
2020-08-04,0,4,8
2020-08-05,2,5,0
2020-08-06,0,2,7
2020-08-07,0,1,0
2020-08-08,0,0,0
2020-08-09,0,1,0
2020-08-10,1,3,4
2020-08-11,3,5,0
2020-08-12,3,5,0
2020-08-13,1,6,0
2020-08-14,1,2,0
2020-08-15,1,0,0
2020-08-16,0,5,0
2020-08-17,7,9,0
2020-08-18,12,3,3
2020-08-19,4,4,0
2020-08-20,2,1,3
2020-08-21,5,7,0
2020-08-22,1,1,0
2020-08-23,0,0,0
2020-08-24,0,7,0
2020-08-25,0,9,5
2020-08-26,0,13,0
2020-08-27,1,6,1
2020-08-28,0,4,0
2020-08-29,0,7,0
2020-08-30,0,4,0
2020-08-31,0,3,3
2020-09-01,0,4,3
2020-09-02,0,3,0
2020-09-03,2,0,0
2020-09-04,7,0,4
2020-09-05,0,1,0
