,containerd/containerd,canonical/lxd,moby/moby
2016-04-12,0,0,22.0
2016-04-13,2,5,26.0
2016-04-14,3,4,37.0
2016-04-15,2,0,45.0
2016-04-16,0,0,12.0
2016-04-17,3,0,2.0
2016-04-18,6,4,24.0
2016-04-19,1,2,27.0
2016-04-20,2,0,22.0
2016-04-21,5,1,25.0
2016-04-22,9,4,19.0
2016-04-23,0,0,9.0
2016-04-24,0,13,4.0
2016-04-25,0,2,32.0
2016-04-26,16,6,19.0
2016-04-27,1,6,16.0
2016-04-28,3,8,20.0
2016-04-29,3,4,24.0
2016-04-30,0,0,8.0
2016-05-01,0,6,6.0
2016-05-02,4,1,21.0
2016-05-03,0,2,18.0
2016-05-04,2,5,24.0
2016-05-05,0,2,19.0
2016-05-06,3,1,26.0
2016-05-07,0,2,18.0
2016-05-08,0,0,5.0
2016-05-09,8,6,19.0
2016-05-10,0,3,12.0
2016-05-11,0,6,19.0
2016-05-12,1,0,33.0
2016-05-13,2,0,12.0
2016-05-14,0,2,16.0
2016-05-15,0,0,5.0
2016-05-16,0,0,14.0
2016-05-17,1,5,10.0
2016-05-18,5,1,16.0
2016-05-19,1,3,15.0
2016-05-20,0,1,17.0
2016-05-21,0,0,13.0
2016-05-22,0,0,11.0
2016-05-23,1,1,21.0
2016-05-24,0,0,42.0
2016-05-25,2,6,55.0
2016-05-26,2,5,25.0
2016-05-27,1,4,32.0
2016-05-28,0,0,7.0
2016-05-29,0,0,8.0
2016-05-30,0,0,9.0
2016-05-31,1,10,30.0
2016-06-01,0,17,27.0
2016-06-02,0,13,35.0
2016-06-03,1,11,49.0
2016-06-04,0,0,18.0
2016-06-05,0,13,31.0
2016-06-06,1,3,51.0
2016-06-07,1,4,51.0
2016-06-08,0,3,41.0
2016-06-09,5,4,37.0
2016-06-10,0,8,40.0
2016-06-11,0,1,21.0
2016-06-12,0,0,19.0
2016-06-13,3,8,35.0
2016-06-14,0,2,97.0
2016-06-15,1,1,57.0
2016-06-16,2,11,69.0
2016-06-17,2,0,55.0
2016-06-18,0,0,29.0
2016-06-19,0,0,22.0
2016-06-20,0,1,30.0
2016-06-21,0,4,46.0
2016-06-22,2,10,30.0
2016-06-23,0,5,34.0
2016-06-24,0,2,39.0
2016-06-25,0,0,7.0
2016-06-26,0,0,6.0
2016-06-27,2,3,29.0
2016-06-28,1,5,26.0
2016-06-29,1,1,35.0
2016-06-30,1,2,38.0
2016-07-01,4,2,31.0
2016-07-02,0,0,17.0
2016-07-03,0,0,25.0
2016-07-04,1,0,14.0
2016-07-05,6,11,25.0
2016-07-06,0,3,19.0
2016-07-07,0,6,31.0
2016-07-08,0,8,27.0
2016-07-09,0,0,5.0
2016-07-10,0,0,2.0
2016-07-11,0,0,26.0
2016-07-12,0,4,45.0
2016-07-13,1,0,50.0
2016-07-14,2,0,23.0
2016-07-15,1,0,35.0
2016-07-16,0,0,13.0
2016-07-17,0,0,3.0
2016-07-18,0,0,27.0
2016-07-19,0,2,48.0
2016-07-20,0,9,46.0
2016-07-21,0,0,31.0
2016-07-22,0,8,39.0
2016-07-23,0,0,16.0
2016-07-24,0,0,22.0
2016-07-25,0,1,45.0
2016-07-26,0,9,58.0
2016-07-27,0,0,37.0
2016-07-28,0,2,27.0
2016-07-29,0,0,44.0
2016-07-30,0,0,10.0
2016-07-31,0,0,7.0
2016-08-01,0,3,33.0
2016-08-02,1,5,40.0
2016-08-03,1,8,37.0
2016-08-04,0,7,25.0
2016-08-05,0,7,46.0
2016-08-06,0,0,9.0
2016-08-07,0,4,1.0
2016-08-08,0,1,30.0
2016-08-09,0,0,21.0
2016-08-10,2,0,38.0
2016-08-11,0,5,43.0
2016-08-12,0,2,42.0
2016-08-13,0,0,7.0
2016-08-14,0,0,1.0
2016-08-15,1,7,25.0
2016-08-16,0,3,48.0
2016-08-17,0,3,35.0
2016-08-18,0,2,27.0
2016-08-19,0,2,23.0
2016-08-20,0,2,9.0
2016-08-21,0,0,4.0
2016-08-22,0,0,23.0
2016-08-23,0,2,29.0
2016-08-24,0,4,20.0
2016-08-25,0,1,39.0
2016-08-26,7,3,41.0
2016-08-27,0,0,7.0
2016-08-28,0,0,8.0
2016-08-29,0,0,19.0
2016-08-30,1,10,60.0
2016-08-31,0,3,47.0
2016-09-01,0,2,27.0
2016-09-02,0,2,19.0
2016-09-03,0,3,6.0
2016-09-04,0,2,4.0
2016-09-05,0,2,17.0
2016-09-06,0,0,28.0
2016-09-07,4,13,50.0
2016-09-08,2,14,37.0
2016-09-09,1,2,31.0
2016-09-10,0,0,6.0
2016-09-11,0,2,1.0
2016-09-12,5,6,37.0
2016-09-13,0,8,34.0
2016-09-14,1,9,33.0
2016-09-15,0,44,22.0
2016-09-16,4,37,27.0
2016-09-17,0,14,24.0
2016-09-18,0,13,10.0
2016-09-19,4,14,49.0
2016-09-20,9,5,45.0
2016-09-21,1,2,33.0
2016-09-22,3,36,32.0
2016-09-23,0,25,42.0
2016-09-24,0,0,9.0
2016-09-25,0,0,3.0
2016-09-26,0,8,45.0
2016-09-27,4,8,34.0
2016-09-28,3,5,14.0
2016-09-29,0,9,33.0
2016-09-30,2,3,21.0
2016-10-01,0,11,8.0
2016-10-02,0,3,6.0
2016-10-03,2,12,22.0
2016-10-04,1,16,20.0
2016-10-05,1,5,24.0
2016-10-06,5,7,19.0
2016-10-07,0,4,18.0
2016-10-08,0,0,3.0
2016-10-09,0,4,2.0
2016-10-10,0,1,26.0
2016-10-11,0,15,28.0
2016-10-12,0,6,23.0
2016-10-13,0,1,21.0
2016-10-14,0,15,29.0
2016-10-15,0,0,11.0
2016-10-16,0,2,4.0
2016-10-17,0,19,40.0
2016-10-18,0,13,44.0
2016-10-19,0,2,33.0
2016-10-20,0,6,42.0
2016-10-21,0,11,56.0
2016-10-22,0,3,13.0
2016-10-23,0,0,0.0
2016-10-24,0,12,21.0
2016-10-25,0,5,53.0
2016-10-26,0,12,26.0
2016-10-27,0,14,24.0
2016-10-28,1,3,72.0
2016-10-29,0,3,11.0
2016-10-30,0,0,2.0
2016-10-31,0,4,36.0
2016-11-01,0,0,26.0
2016-11-02,4,0,54.0
2016-11-03,0,2,63.0
2016-11-04,1,3,72.0
2016-11-05,0,4,13.0
2016-11-06,0,1,5.0
2016-11-07,4,0,26.0
2016-11-08,0,0,73.0
2016-11-09,0,8,125.0
2016-11-10,0,1,109.0
2016-11-11,0,2,66.0
2016-11-12,0,1,12.0
2016-11-13,0,0,18.0
2016-11-14,0,2,35.0
2016-11-15,0,7,32.0
2016-11-16,2,6,38.0
2016-11-17,0,21,50.0
2016-11-18,0,7,46.0
2016-11-19,0,2,13.0
2016-11-20,0,8,8.0
2016-11-21,0,3,51.0
2016-11-22,0,9,67.0
2016-11-23,0,12,41.0
2016-11-24,0,4,18.0
2016-11-25,0,15,17.0
2016-11-26,0,5,13.0
2016-11-27,0,5,3.0
2016-11-28,2,7,51.0
2016-11-29,7,3,37.0
2016-11-30,5,0,49.0
2016-12-01,20,6,22.0
2016-12-02,9,2,38.0
2016-12-03,2,1,12.0
2016-12-04,0,0,5.0
2016-12-05,3,6,23.0
2016-12-06,4,12,35.0
2016-12-07,1,4,17.0
2016-12-08,6,3,32.0
2016-12-09,8,3,25.0
2016-12-10,0,0,6.0
2016-12-11,0,0,7.0
2016-12-12,6,4,28.0
2016-12-13,9,1,30.0
2016-12-14,12,26,28.0
2016-12-15,15,33,23.0
2016-12-16,14,8,30.0
2016-12-17,0,0,8.0
2016-12-18,1,1,8.0
2016-12-19,0,0,34.0
2016-12-20,1,12,23.0
2016-12-21,0,10,32.0
2016-12-22,0,3,28.0
2016-12-23,0,15,2.0
2016-12-24,0,0,8.0
2016-12-25,0,0,4.0
2016-12-26,0,0,13.0
2016-12-27,1,0,35.0
2016-12-28,0,0,20.0
2016-12-29,0,0,33.0
2016-12-30,0,0,11.0
2016-12-31,0,3,6.0
2017-01-01,0,0,2.0
2017-01-02,0,0,12.0
2017-01-03,1,0,33.0
2017-01-04,1,3,30.0
2017-01-05,1,0,27.0
2017-01-06,0,0,20.0
2017-01-07,0,5,7.0
2017-01-08,0,0,3.0
2017-01-09,2,1,32.0
2017-01-10,4,0,16.0
2017-01-11,8,17,17.0
2017-01-12,21,1,34.0
2017-01-13,7,2,23.0
2017-01-14,3,5,19.0
2017-01-15,0,3,6.0
2017-01-16,1,0,7.0
2017-01-17,5,0,31.0
2017-01-18,9,2,14.0
2017-01-19,14,3,21.0
2017-01-20,7,1,24.0
2017-01-21,0,0,0.0
2017-01-22,0,2,2.0
2017-01-23,7,5,21.0
2017-01-24,6,13,37.0
2017-01-25,2,3,16.0
2017-01-26,20,2,34.0
2017-01-27,15,4,35.0
2017-01-28,1,2,6.0
2017-01-29,0,0,8.0
2017-01-30,3,3,25.0
2017-01-31,0,1,19.0
2017-02-01,2,2,46.0
2017-02-02,6,1,37.0
2017-02-03,17,5,20.0
2017-02-04,1,5,17.0
