,sphinx-doc/sphinx,hexojs/hexo,gohugoio/hugo
2017-09-22,0,0,3
2017-09-23,0,0,8
2017-09-24,19,0,2
2017-09-25,4,0,13
2017-09-26,8,0,11
2017-09-27,2,4,2
2017-09-28,4,0,4
2017-09-29,0,0,6
2017-09-30,1,4,0
2017-10-01,5,1,0
2017-10-02,7,0,0
2017-10-03,5,1,3
2017-10-04,5,0,4
2017-10-05,17,0,5
2017-10-06,0,0,0
2017-10-07,12,1,4
2017-10-08,3,0,0
2017-10-09,14,3,0
2017-10-10,12,0,1
2017-10-11,2,0,0
2017-10-12,1,0,0
2017-10-13,10,0,1
2017-10-14,0,0,2
2017-10-15,1,0,5
2017-10-16,9,0,6
2017-10-17,4,0,1
2017-10-18,11,0,3
2017-10-19,9,0,17
2017-10-20,5,3,0
2017-10-21,19,0,9
2017-10-22,8,0,0
2017-10-23,9,0,3
2017-10-24,0,2,0
2017-10-25,5,0,0
2017-10-26,2,0,0
2017-10-27,1,3,0
2017-10-28,0,0,1
2017-10-29,1,2,1
2017-10-30,3,0,1
2017-10-31,14,1,0
2017-11-01,5,3,0
2017-11-02,1,0,0
2017-11-03,0,0,0
2017-11-04,0,0,2
2017-11-05,1,0,2
2017-11-06,1,1,2
2017-11-07,2,0,3
2017-11-08,0,1,0
2017-11-09,0,3,1
2017-11-10,0,2,0
2017-11-11,15,0,2
2017-11-12,4,0,0
2017-11-13,0,0,0
2017-11-14,0,0,0
2017-11-15,0,10,1
2017-11-16,2,2,4
2017-11-17,1,0,6
2017-11-18,0,1,2
2017-11-19,0,0,3
2017-11-20,1,0,8
2017-11-21,0,1,0
2017-11-22,0,3,0
2017-11-23,0,0,0
2017-11-24,0,0,1
2017-11-25,1,0,1
2017-11-26,8,0,0
2017-11-27,4,0,7
2017-11-28,0,0,1
2017-11-29,1,0,0
2017-11-30,0,0,1
2017-12-01,1,0,1
2017-12-02,2,0,2
2017-12-03,3,0,0
2017-12-04,2,3,0
2017-12-05,1,2,1
2017-12-06,3,0,2
2017-12-07,0,0,2
2017-12-08,0,0,0
2017-12-09,0,0,0
2017-12-10,11,0,0
2017-12-11,7,3,0
2017-12-12,15,0,0
2017-12-13,8,0,0
2017-12-14,28,0,0
2017-12-15,10,0,1
2017-12-16,19,1,3
2017-12-17,9,0,1
2017-12-18,11,0,0
2017-12-19,18,0,0
2017-12-20,23,2,0
2017-12-21,15,0,0
2017-12-22,0,0,0
2017-12-23,1,0,0
2017-12-24,5,0,0
2017-12-25,2,0,0
2017-12-26,0,0,0
2017-12-27,3,0,1
2017-12-28,10,0,5
2017-12-29,14,0,4
2017-12-30,2,0,2
2017-12-31,6,0,5
2018-01-01,12,0,3
2018-01-02,0,0,6
2018-01-03,6,0,8
2018-01-04,0,1,0
2018-01-05,8,1,0
2018-01-06,13,5,5
2018-01-07,7,4,2
2018-01-08,27,0,6
2018-01-09,5,0,0
2018-01-10,4,0,4
2018-01-11,9,0,10
2018-01-12,3,0,5
2018-01-13,30,0,1
2018-01-14,19,6,4
2018-01-15,16,2,3
2018-01-16,2,4,0
2018-01-17,2,0,5
2018-01-18,1,0,6
2018-01-19,10,0,2
2018-01-20,36,0,0
2018-01-21,25,0,1
2018-01-22,0,0,9
2018-01-23,1,0,4
2018-01-24,22,0,6
2018-01-25,4,1,5
2018-01-26,1,0,6
2018-01-27,11,0,4
2018-01-28,20,0,4
2018-01-29,18,0,5
2018-01-30,18,0,5
2018-01-31,11,2,10
2018-02-01,3,0,0
2018-02-02,9,0,2
2018-02-03,8,1,0
2018-02-04,20,2,0
2018-02-05,6,0,12
2018-02-06,7,0,0
2018-02-07,12,0,1
2018-02-08,7,0,1
2018-02-09,3,0,4
2018-02-10,12,1,3
2018-02-11,11,0,0
2018-02-12,14,0,8
2018-02-13,11,1,2
2018-02-14,4,1,1
2018-02-15,4,0,11
2018-02-16,17,0,3
2018-02-17,10,0,2
2018-02-18,19,0,1
2018-02-19,27,2,1
2018-02-20,9,0,0
2018-02-21,3,6,8
2018-02-22,15,0,3
2018-02-23,11,2,0
2018-02-24,11,0,0
2018-02-25,11,0,2
2018-02-26,3,0,2
2018-02-27,1,2,10
2018-02-28,5,3,0
2018-03-01,11,0,1
2018-03-02,11,0,0
2018-03-03,14,0,0
2018-03-04,0,0,0
2018-03-05,2,0,0
2018-03-06,4,0,0
2018-03-07,7,0,5
2018-03-08,3,0,0
2018-03-09,0,0,2
2018-03-10,0,1,1
2018-03-11,3,2,6
2018-03-12,1,2,2
2018-03-13,10,0,0
2018-03-14,5,0,1
2018-03-15,2,0,1
2018-03-16,3,0,6
2018-03-17,7,0,2
2018-03-18,16,0,2
2018-03-19,12,0,1
2018-03-20,14,0,5
2018-03-21,13,0,1
2018-03-22,1,0,0
2018-03-23,9,8,0
2018-03-24,0,1,1
2018-03-25,4,1,0
2018-03-26,2,0,3
2018-03-27,18,0,0
2018-03-28,4,0,0
2018-03-29,19,3,0
2018-03-30,11,5,1
2018-03-31,0,0,1
2018-04-01,4,1,1
2018-04-02,9,0,12
2018-04-03,0,0,0
2018-04-04,0,0,1
2018-04-05,0,4,12
2018-04-06,5,1,5
2018-04-07,1,0,5
2018-04-08,13,0,1
2018-04-09,1,1,8
2018-04-10,1,2,0
2018-04-11,3,0,24
2018-04-12,5,0,2
2018-04-13,0,1,1
2018-04-14,23,0,2
2018-04-15,10,0,10
2018-04-16,1,0,9
2018-04-17,0,0,8
2018-04-18,1,2,0
2018-04-19,1,0,5
2018-04-20,13,3,0
2018-04-21,17,0,4
2018-04-22,19,0,6
2018-04-23,8,0,7
2018-04-24,3,0,0
2018-04-25,9,1,6
2018-04-26,0,1,0
2018-04-27,0,0,0
2018-04-28,6,0,0
2018-04-29,9,0,1
2018-04-30,7,2,6
2018-05-01,11,0,1
2018-05-02,5,0,0
2018-05-03,23,0,1
2018-05-04,0,0,3
2018-05-05,1,1,1
2018-05-06,5,0,0
2018-05-07,4,0,0
2018-05-08,2,0,1
2018-05-09,3,0,7
2018-05-10,8,0,0
2018-05-11,6,0,0
2018-05-12,19,0,1
2018-05-13,9,0,0
2018-05-14,3,0,3
2018-05-15,5,0,0
2018-05-16,5,0,0
2018-05-17,0,0,0
2018-05-18,3,0,0
2018-05-19,17,0,0
2018-05-20,4,0,2
2018-05-21,14,0,7
2018-05-22,10,0,4
2018-05-23,12,0,6
2018-05-24,10,0,3
2018-05-25,2,0,16
2018-05-26,4,0,2
2018-05-27,0,0,3
2018-05-28,12,0,1
2018-05-29,0,0,2
2018-05-30,0,0,2
2018-05-31,1,0,1
2018-06-01,3,0,0
2018-06-02,0,0,0
2018-06-03,0,0,3
2018-06-04,0,0,2
2018-06-05,12,0,2
2018-06-06,9,0,0
2018-06-07,13,0,0
2018-06-08,17,0,0
2018-06-09,17,0,2
2018-06-10,5,0,2
2018-06-11,2,0,6
2018-06-12,0,0,8
2018-06-13,18,0,7
2018-06-14,2,0,4
2018-06-15,5,0,1
2018-06-16,7,0,0
2018-06-17,11,0,0
2018-06-18,1,0,0
2018-06-19,15,0,0
2018-06-20,12,0,0
2018-06-21,9,0,0
2018-06-22,0,0,0
2018-06-23,1,0,2
2018-06-24,0,0,0
2018-06-25,8,0,2
2018-06-26,0,0,2
2018-06-27,0,0,0
2018-06-28,0,0,9
2018-06-29,2,0,1
2018-06-30,3,0,2
2018-07-01,1,0,1
2018-07-02,0,0,2
2018-07-03,4,0,0
2018-07-04,3,0,0
2018-07-05,0,0,0
2018-07-06,0,0,5
2018-07-07,0,0,1
2018-07-08,2,0,2
2018-07-09,1,0,19
2018-07-10,1,0,4
2018-07-11,3,0,2
2018-07-12,6,0,5
2018-07-13,2,0,6
2018-07-14,3,0,1
2018-07-15,24,0,1
2018-07-16,30,0,2
2018-07-17,12,0,4
2018-07-18,7,0,7
2018-07-19,3,0,14
2018-07-20,1,0,3
2018-07-21,10,0,4
2018-07-22,14,0,5
2018-07-23,5,0,2
2018-07-24,7,0,1
2018-07-25,2,0,5
2018-07-26,0,0,0
2018-07-27,0,0,0
2018-07-28,16,0,0
2018-07-29,16,0,1
2018-07-30,9,0,0
2018-07-31,18,0,6
2018-08-01,6,0,8
2018-08-02,2,0,0
2018-08-03,3,0,0
2018-08-04,13,0,0
2018-08-05,6,0,2
2018-08-06,6,0,9
2018-08-07,6,0,1
2018-08-08,2,0,3
2018-08-09,4,0,1
2018-08-10,6,0,0
2018-08-11,8,0,3
2018-08-12,0,0,1
2018-08-13,14,0,1
2018-08-14,7,0,6
2018-08-15,5,0,2
2018-08-16,14,0,6
2018-08-17,11,0,12
2018-08-18,11,2,3
2018-08-19,11,0,1
2018-08-20,4,0,6
2018-08-21,1,0,0
2018-08-22,17,0,1
2018-08-23,0,0,1
2018-08-24,5,0,3
2018-08-25,10,0,4
2018-08-26,15,0,2
2018-08-27,2,0,0
2018-08-28,7,0,9
2018-08-29,10,0,6
2018-08-30,3,0,9
2018-08-31,0,0,1
2018-09-01,2,0,0
2018-09-02,12,0,1
2018-09-03,6,0,2
2018-09-04,0,0,0
2018-09-05,16,0,0
2018-09-06,6,0,2
2018-09-07,4,0,20
2018-09-08,4,0,3
2018-09-09,13,0,0
2018-09-10,11,0,1
2018-09-11,4,0,2
2018-09-12,4,0,2
2018-09-13,6,0,1
2018-09-14,3,0,8
2018-09-15,2,0,0
2018-09-16,9,0,0
2018-09-17,0,0,0
2018-09-18,16,0,1
2018-09-19,1,0,0
2018-09-20,12,0,0
2018-09-21,4,0,7
2018-09-22,27,0,1
2018-09-23,12,0,6
2018-09-24,18,0,10
2018-09-25,1,0,6
2018-09-26,0,0,2
2018-09-27,0,0,0
2018-09-28,0,0,0
2018-09-29,3,0,0
2018-09-30,0,0,0
2018-10-01,3,1,4
2018-10-02,1,1,2
2018-10-03,0,0,11
2018-10-04,0,0,0
2018-10-05,2,0,0
2018-10-06,5,0,1
2018-10-07,9,0,1
2018-10-08,0,0,1
2018-10-09,0,0,1
2018-10-10,2,0,8
2018-10-11,2,1,10
2018-10-12,3,2,1
2018-10-13,0,0,0
2018-10-14,5,1,0
2018-10-15,6,2,1
2018-10-16,19,6,7
2018-10-17,8,3,3
2018-10-18,0,2,0
2018-10-19,0,1,0
2018-10-20,0,0,0
2018-10-21,0,0,1
2018-10-22,2,2,14
2018-10-23,5,10,5
2018-10-24,3,11,7
2018-10-25,8,8,0
2018-10-26,1,0,8
2018-10-27,0,1,3
2018-10-28,7,3,3
2018-10-29,2,0,13
2018-10-30,2,0,2
2018-10-31,11,0,1
2018-11-01,8,0,7
2018-11-02,2,2,6
2018-11-03,1,2,2
2018-11-04,4,2,1
2018-11-05,5,10,2
2018-11-06,6,7,5
2018-11-07,2,8,10
2018-11-08,5,0,0
2018-11-09,3,0,3
2018-11-10,0,0,0
2018-11-11,16,0,0
2018-11-12,11,0,0
2018-11-13,17,0,6
2018-11-14,9,0,7
2018-11-15,1,0,2
2018-11-16,12,4,0
2018-11-17,2,1,0
2018-11-18,4,1,1
2018-11-19,0,7,0
2018-11-20,14,2,0
2018-11-21,13,0,0
2018-11-22,4,3,0
2018-11-23,11,2,1
2018-11-24,8,0,2
2018-11-25,2,0,0
2018-11-26,0,0,0
2018-11-27,11,0,9
2018-11-28,5,0,8
2018-11-29,13,0,1
2018-11-30,8,0,1
2018-12-01,14,0,0
2018-12-02,18,0,0
2018-12-03,24,0,0
2018-12-04,14,0,2
2018-12-05,5,0,0
2018-12-06,0,0,3
2018-12-07,12,0,2
2018-12-08,5,0,0
2018-12-09,12,0,0
2018-12-10,12,0,1
2018-12-11,13,0,1
2018-12-12,11,1,4
2018-12-13,3,0,0
2018-12-14,7,0,1
2018-12-15,45,0,0
2018-12-16,39,0,0
2018-12-17,32,0,4
2018-12-18,18,0,0
2018-12-19,5,0,4
2018-12-20,13,0,4
2018-12-21,3,0,6
2018-12-22,5,0,0
2018-12-23,31,0,9
2018-12-24,7,1,5
2018-12-25,8,0,0
2018-12-26,3,0,4
2018-12-27,2,0,3
2018-12-28,3,1,1
2018-12-29,2,0,1
2018-12-30,0,0,3
2018-12-31,0,0,0
2019-01-01,0,1,0
2019-01-02,11,0,3
2019-01-03,13,0,0
2019-01-04,10,0,0
2019-01-05,4,0,0
2019-01-06,10,0,0
2019-01-07,16,1,0
2019-01-08,9,0,1
2019-01-09,1,0,0
2019-01-10,10,0,2
2019-01-11,0,0,0
2019-01-12,28,0,0
2019-01-13,36,0,1
2019-01-14,4,0,0
2019-01-15,0,0,0
2019-01-16,0,0,0
2019-01-17,10,0,0
2019-01-18,1,0,0
2019-01-19,6,0,0
2019-01-20,9,0,2
2019-01-21,6,0,0
2019-01-22,4,0,0
2019-01-23,0,1,0
2019-01-24,4,1,0
2019-01-25,1,0,1
2019-01-26,2,0,0
2019-01-27,5,1,0
2019-01-28,1,0,0
2019-01-29,1,0,2
2019-01-30,0,0,1
2019-01-31,0,0,2
2019-02-01,6,0,16
2019-02-02,0,0,3
2019-02-03,32,0,0
2019-02-04,3,0,0
2019-02-05,15,0,0
2019-02-06,6,0,1
2019-02-07,6,0,0
2019-02-08,7,0,0
2019-02-09,17,0,0
2019-02-10,9,0,0
2019-02-11,42,0,0
2019-02-12,0,0,0
2019-02-13,12,1,0
2019-02-14,5,0,0
2019-02-15,13,0,0
2019-02-16,16,0,0
2019-02-17,15,0,0
2019-02-18,1,0,0
2019-02-19,0,0,1
2019-02-20,1,0,0
2019-02-21,0,0,0
2019-02-22,2,0,1
2019-02-23,2,0,0
2019-02-24,15,0,0
2019-02-25,5,0,0
2019-02-26,4,0,1
2019-02-27,21,0,0
2019-02-28,4,0,0
2019-03-01,1,0,0
2019-03-02,14,0,1
2019-03-03,9,0,0
2019-03-04,0,1,1
2019-03-05,4,0,1
2019-03-06,7,0,2
2019-03-07,8,0,1
2019-03-08,7,0,0
2019-03-09,20,0,0
2019-03-10,18,0,0
2019-03-11,3,0,0
2019-03-12,0,0,1
2019-03-13,1,0,1
2019-03-14,1,0,1
2019-03-15,0,0,0
2019-03-16,2,2,1
2019-03-17,11,0,1
2019-03-18,8,0,1
2019-03-19,1,0,0
2019-03-20,3,0,0
2019-03-21,0,0,0
2019-03-22,0,0,0
2019-03-23,13,0,2
2019-03-24,4,1,2
2019-03-25,4,0,2
2019-03-26,0,0,8
2019-03-27,3,0,0
2019-03-28,7,0,4
2019-03-29,9,0,0
2019-03-30,7,1,2
2019-03-31,20,0,0
2019-04-01,1,0,2
2019-04-02,0,0,5
2019-04-03,2,0,0
2019-04-04,18,0,3
2019-04-05,0,0,10
2019-04-06,12,0,1
2019-04-07,15,0,2
2019-04-08,3,0,6
2019-04-09,0,0,4
2019-04-10,0,0,1
2019-04-11,0,1,0
2019-04-12,3,0,9
2019-04-13,18,0,2
2019-04-14,20,0,0
2019-04-15,7,0,4
2019-04-16,4,0,1
2019-04-17,2,0,7
2019-04-18,0,0,3
2019-04-19,2,0,4
2019-04-20,0,0,9
2019-04-21,0,0,0
2019-04-22,6,0,1
2019-04-23,7,0,2
2019-04-24,3,0,2
2019-04-25,4,0,5
2019-04-26,0,0,0
2019-04-27,0,0,2
2019-04-28,1,0,0
2019-04-29,0,0,1
2019-04-30,0,0,0
2019-05-01,0,0,3
2019-05-02,3,0,9
2019-05-03,4,0,4
2019-05-04,6,0,2
2019-05-05,0,0,0
2019-05-06,10,0,2
2019-05-07,0,0,0
2019-05-08,0,0,0
2019-05-09,0,0,1
2019-05-10,0,0,0
2019-05-11,0,0,0
2019-05-12,18,0,0
2019-05-13,15,0,0
2019-05-14,13,0,0
2019-05-15,2,0,1
2019-05-16,6,0,0
2019-05-17,0,0,1
2019-05-18,2,0,7
2019-05-19,9,0,0
2019-05-20,0,0,0
2019-05-21,2,0,0
2019-05-22,1,0,0
2019-05-23,2,0,1
2019-05-24,3,0,2
2019-05-25,6,1,3
2019-05-26,8,0,1
2019-05-27,0,0,0
2019-05-28,6,0,1
2019-05-29,12,0,1
2019-05-30,7,0,3
2019-05-31,4,0,3
2019-06-01,13,0,0
2019-06-02,31,3,1
2019-06-03,26,0,0
2019-06-04,12,2,0
2019-06-05,10,0,0
2019-06-06,1,1,0
2019-06-07,2,0,1
2019-06-08,11,0,2
2019-06-09,12,0,2
2019-06-10,31,0,2
2019-06-11,0,0,0
2019-06-12,0,0,2
2019-06-13,9,2,0
2019-06-14,1,0,0
2019-06-15,12,0,0
2019-06-16,5,3,1
2019-06-17,8,0,0
2019-06-18,11,1,0
2019-06-19,9,0,1
2019-06-20,0,0,0
2019-06-21,10,0,0
2019-06-22,2,0,0
2019-06-23,1,0,0
2019-06-24,0,0,0
2019-06-25,0,0,0
2019-06-26,0,0,4
2019-06-27,0,0,0
2019-06-28,8,0,0
2019-06-29,27,0,0
2019-06-30,26,0,0
2019-07-01,0,2,0
2019-07-02,0,0,0
2019-07-03,6,0,0
2019-07-04,7,1,0
2019-07-05,0,0,0
2019-07-06,32,1,0
2019-07-07,10,0,1
2019-07-08,7,0,0
2019-07-09,0,3,1
2019-07-10,2,1,2
2019-07-11,0,0,0
2019-07-12,1,0,0
2019-07-13,16,2,0
2019-07-14,0,2,0
2019-07-15,0,3,3
2019-07-16,0,0,2
2019-07-17,0,0,1
2019-07-18,0,0,0
2019-07-19,0,1,1
2019-07-20,0,1,1
2019-07-21,0,0,0
2019-07-22,0,3,2
2019-07-23,0,0,0
2019-07-24,0,0,9
2019-07-25,0,0,8
2019-07-26,0,0,3
2019-07-27,0,2,0
2019-07-28,0,0,9
2019-07-29,0,1,2
2019-07-30,1,1,9
2019-07-31,0,0,11
2019-08-01,29,0,7
2019-08-02,6,0,0
2019-08-03,1,1,0
2019-08-04,2,0,0
2019-08-05,0,0,2
2019-08-06,1,4,1
2019-08-07,0,3,0
2019-08-08,1,0,2
2019-08-09,0,0,4
2019-08-10,0,2,4
2019-08-11,0,0,0
2019-08-12,0,0,1
2019-08-13,0,0,5
2019-08-14,0,0,5
2019-08-15,0,2,12
2019-08-16,5,1,2
2019-08-17,8,0,11
2019-08-18,13,1,0
2019-08-19,0,2,0
2019-08-20,12,1,0
2019-08-21,0,2,0
2019-08-22,0,4,1
2019-08-23,0,0,2
2019-08-24,0,0,1
2019-08-25,0,0,0
2019-08-26,0,4,1
2019-08-27,0,1,0
2019-08-28,0,0,1
2019-08-29,0,2,0
2019-08-30,0,3,1
2019-08-31,0,2,3
2019-09-01,1,0,3
2019-09-02,2,5,3
2019-09-03,1,1,7
2019-09-04,0,0,8
2019-09-05,5,0,2
2019-09-06,2,1,7
2019-09-07,0,0,0
2019-09-08,0,0,0
2019-09-09,0,0,0
2019-09-10,0,3,0
2019-09-11,0,0,0
2019-09-12,0,0,2
2019-09-13,0,0,5
2019-09-14,2,0,0
2019-09-15,0,12,0
2019-09-16,0,3,0
2019-09-17,0,3,0
2019-09-18,0,1,0
2019-09-19,0,0,6
2019-09-20,0,7,0
2019-09-21,0,2,3
2019-09-22,0,0,0
2019-09-23,0,0,0
2019-09-24,0,0,0
2019-09-25,0,31,2
2019-09-26,0,0,0
2019-09-27,0,2,0
2019-09-28,0,0,0
2019-09-29,0,1,1
2019-09-30,0,1,1
2019-10-01,1,3,0
2019-10-02,0,4,0
2019-10-03,0,0,2
2019-10-04,0,2,1
2019-10-05,0,0,3
2019-10-06,12,1,1
2019-10-07,3,11,3
2019-10-08,1,1,0
2019-10-09,0,1,3
2019-10-10,1,1,3
2019-10-11,0,0,4
2019-10-12,13,3,2
2019-10-13,1,2,2
2019-10-14,6,3,1
2019-10-15,0,1,0
2019-10-16,0,3,1
2019-10-17,0,8,0
2019-10-18,0,11,0
2019-10-19,2,1,0
2019-10-20,16,3,1
2019-10-21,0,2,14
2019-10-22,1,3,0
2019-10-23,1,2,1
2019-10-24,0,3,1
2019-10-25,0,0,0
2019-10-26,15,5,0
2019-10-27,0,22,0
2019-10-28,4,9,1
2019-10-29,1,0,0
2019-10-30,0,0,1
2019-10-31,3,1,6
2019-11-01,1,0,3
2019-11-02,0,14,0
2019-11-03,0,0,1
2019-11-04,2,4,3
2019-11-05,5,4,1
2019-11-06,2,1,3
2019-11-07,2,0,0
2019-11-08,0,1,1
2019-11-09,0,6,0
2019-11-10,2,1,2
2019-11-11,0,0,6
2019-11-12,5,0,0
2019-11-13,0,0,0
2019-11-14,5,0,2
2019-11-15,8,0,0
2019-11-16,18,0,0
2019-11-17,8,1,1
2019-11-18,6,8,1
2019-11-19,0,2,0
2019-11-20,13,0,0
2019-11-21,0,1,2
2019-11-22,2,2,2
2019-11-23,0,0,3
2019-11-24,0,0,3
2019-11-25,12,0,15
2019-11-26,7,0,7
2019-11-27,2,0,7
2019-11-28,3,3,0
2019-11-29,0,2,8
2019-11-30,8,4,0
2019-12-01,11,4,1
2019-12-02,7,0,2
2019-12-03,0,1,0
2019-12-04,1,0,0
2019-12-05,0,0,0
2019-12-06,2,2,0
2019-12-07,3,0,0
2019-12-08,4,0,0
2019-12-09,4,4,0
2019-12-10,0,8,1
2019-12-11,0,4,7
2019-12-12,1,10,6
2019-12-13,3,9,0
2019-12-14,14,2,1
2019-12-15,28,5,2
2019-12-16,1,6,0
2019-12-17,0,1,0
2019-12-18,0,13,5
2019-12-19,0,4,6
2019-12-20,0,13,2
2019-12-21,8,3,3
2019-12-22,19,1,4
2019-12-23,0,0,5
2019-12-24,24,6,0
2019-12-25,17,4,0
2019-12-26,7,0,0
2019-12-27,8,3,0
2019-12-28,3,1,1
2019-12-29,6,0,0
2019-12-30,2,4,1
2019-12-31,0,21,0
2020-01-01,12,7,5
2020-01-02,4,5,0
2020-01-03,2,1,0
2020-01-04,6,1,2
2020-01-05,0,3,12
2020-01-06,1,0,0
2020-01-07,4,5,8
2020-01-08,13,2,0
2020-01-09,1,1,0
2020-01-10,10,4,0
2020-01-11,6,1,0
2020-01-12,0,0,0
2020-01-13,7,5,2
2020-01-14,0,1,1
2020-01-15,0,0,3
2020-01-16,1,1,1
2020-01-17,2,0,0
2020-01-18,1,0,1
2020-01-19,13,0,1
2020-01-20,3,0,0
2020-01-21,1,4,1
2020-01-22,6,0,2
2020-01-23,3,0,17
2020-01-24,1,0,0
2020-01-25,14,0,0
2020-01-26,2,0,1
2020-01-27,0,1,6
2020-01-28,1,0,0
2020-01-29,1,0,2
2020-01-30,18,0,3
2020-01-31,1,2,5
2020-02-01,13,1,1
2020-02-02,8,0,0
2020-02-03,2,0,1
2020-02-04,5,0,6
2020-02-05,3,0,0
2020-02-06,2,0,3
2020-02-07,8,0,0
2020-02-08,7,12,0
2020-02-09,19,2,6
2020-02-10,4,0,2
2020-02-11,14,0,0
2020-02-12,4,0,2
2020-02-13,6,0,0
2020-02-14,8,0,2
2020-02-15,3,0,1
2020-02-16,36,1,0
2020-02-17,13,0,3
2020-02-18,8,0,12
2020-02-19,1,0,10
2020-02-20,2,0,8
2020-02-21,4,1,6
2020-02-22,45,3,3
2020-02-23,29,3,4
2020-02-24,9,12,1
2020-02-25,1,11,1
2020-02-26,1,0,1
2020-02-27,1,2,2
2020-02-28,1,0,1
2020-02-29,24,0,2
2020-03-01,10,5,0
2020-03-02,2,0,5
2020-03-03,4,5,11
2020-03-04,2,0,0
2020-03-05,23,0,0
2020-03-06,18,1,0
2020-03-07,30,0,0
2020-03-08,27,0,2
2020-03-09,16,0,12
2020-03-10,3,3,3
2020-03-11,6,0,2
2020-03-12,2,2,1
2020-03-13,2,0,0
2020-03-14,25,1,0
2020-03-15,28,0,4
2020-03-16,9,0,2
2020-03-17,13,1,1
2020-03-18,10,0,0
2020-03-19,4,0,2
2020-03-20,8,0,7
2020-03-21,18,0,9
2020-03-22,26,0,4
2020-03-23,1,0,1
2020-03-24,13,0,10
2020-03-25,10,0,0
2020-03-26,0,0,1
2020-03-27,0,0,0
2020-03-28,17,0,1
2020-03-29,17,0,0
2020-03-30,5,3,0
2020-03-31,3,0,2
2020-04-01,0,2,0
2020-04-02,2,0,1
2020-04-03,0,0,0
2020-04-04,2,0,1
2020-04-05,15,0,2
2020-04-06,0,0,0
2020-04-07,3,0,7
2020-04-08,10,0,1
2020-04-09,15,0,1
2020-04-10,8,0,8
2020-04-11,2,1,0
2020-04-12,17,1,1
2020-04-13,18,0,2
2020-04-14,6,0,0
2020-04-15,7,0,0
2020-04-16,9,0,0
2020-04-17,9,0,1
2020-04-18,10,0,1
2020-04-19,29,0,0
2020-04-20,5,0,1
2020-04-21,9,0,5
2020-04-22,11,1,4
2020-04-23,16,0,3
2020-04-24,10,0,4
2020-04-25,7,1,0
2020-04-26,10,7,0
2020-04-27,24,3,2
2020-04-28,6,2,1
2020-04-29,6,0,2
2020-04-30,8,1,0
2020-05-01,9,0,1
2020-05-02,15,0,1
2020-05-03,25,0,1
2020-05-04,7,0,0
2020-05-05,5,0,0
2020-05-06,10,1,7
2020-05-07,5,0,1
2020-05-08,1,0,0
2020-05-09,19,0,1
2020-05-10,9,0,0
2020-05-11,1,0,0
2020-05-12,7,0,2
2020-05-13,4,0,0
2020-05-14,5,0,2
2020-05-15,1,0,2
2020-05-16,25,0,2
2020-05-17,13,0,0
2020-05-18,0,1,9
2020-05-19,0,0,0
2020-05-20,9,4,0
2020-05-21,6,4,0
2020-05-22,16,0,1
2020-05-23,8,0,1
2020-05-24,3,0,5
2020-05-25,0,0,5
2020-05-26,10,0,0
2020-05-27,7,0,2
2020-05-28,6,0,1
2020-05-29,10,1,2
2020-05-30,18,4,0
2020-05-31,18,1,8
2020-06-01,1,0,0
2020-06-02,16,1,3
2020-06-03,15,0,0
2020-06-04,8,0,0
2020-06-05,9,2,1
2020-06-06,5,0,1
2020-06-07,3,0,0
2020-06-08,9,2,0
