,grafana/grafana,cacti/cacti,netdata/netdata
2017-10-14,3,2,13
2017-10-15,2,4,27
2017-10-16,18,5,3
2017-10-17,24,0,5
2017-10-18,18,3,4
2017-10-19,6,0,11
2017-10-20,7,0,72
2017-10-21,0,0,7
2017-10-22,14,2,4
2017-10-23,19,3,7
2017-10-24,32,0,7
2017-10-25,12,0,3
2017-10-26,22,0,20
2017-10-27,6,5,4
2017-10-28,5,2,8
2017-10-29,5,5,2
2017-10-30,8,0,2
2017-10-31,30,0,7
2017-11-01,21,0,2
2017-11-02,8,0,18
2017-11-03,8,0,19
2017-11-04,1,9,11
2017-11-05,0,4,16
2017-11-06,3,0,4
2017-11-07,1,0,25
2017-11-08,4,1,4
2017-11-09,4,0,2
2017-11-10,1,0,3
2017-11-11,2,5,3
2017-11-12,0,4,10
2017-11-13,14,10,13
2017-11-14,10,1,20
2017-11-15,41,0,7
2017-11-16,22,4,8
2017-11-17,23,3,4
2017-11-18,0,15,15
2017-11-19,0,8,14
2017-11-20,18,1,2
2017-11-21,24,1,0
2017-11-22,14,6,8
2017-11-23,20,4,5
2017-11-24,8,0,3
2017-11-25,0,2,10
2017-11-26,1,1,1
2017-11-27,18,0,8
2017-11-28,11,0,5
2017-11-29,15,0,6
2017-11-30,15,0,9
2017-12-01,25,2,5
2017-12-02,7,9,2
2017-12-03,5,10,2
2017-12-04,13,0,0
2017-12-05,22,0,4
2017-12-06,20,0,0
2017-12-07,52,0,0
2017-12-08,39,0,9
2017-12-09,8,0,9
2017-12-10,9,0,1
2017-12-11,35,0,3
2017-12-12,39,0,15
2017-12-13,69,0,1
2017-12-14,36,0,4
2017-12-15,32,0,0
2017-12-16,1,0,5
2017-12-17,0,0,10
2017-12-18,11,0,9
2017-12-19,38,0,1
2017-12-20,18,0,9
2017-12-21,7,2,2
2017-12-22,9,9,0
2017-12-23,2,20,5
2017-12-24,0,10,6
2017-12-25,2,2,6
2017-12-26,7,1,19
2017-12-27,10,4,8
2017-12-28,16,2,6
2017-12-29,3,6,0
2017-12-30,0,3,0
2017-12-31,6,8,0
2018-01-01,3,0,0
2018-01-02,3,0,5
2018-01-03,9,7,27
2018-01-04,6,0,12
2018-01-05,5,1,7
2018-01-06,0,12,8
2018-01-07,0,4,9
2018-01-08,6,0,6
2018-01-09,41,0,3
2018-01-10,18,0,13
2018-01-11,10,2,12
2018-01-12,4,8,5
2018-01-13,0,13,12
2018-01-14,2,25,17
2018-01-15,11,48,9
2018-01-16,31,17,0
2018-01-17,7,5,0
2018-01-18,20,1,9
2018-01-19,10,16,10
2018-01-20,3,18,23
2018-01-21,2,8,2
2018-01-22,13,3,6
2018-01-23,13,4,4
2018-01-24,18,3,3
2018-01-25,35,2,35
2018-01-26,19,0,4
2018-01-27,3,13,35
2018-01-28,1,16,4
2018-01-29,22,0,8
2018-01-30,45,1,9
2018-01-31,58,0,0
2018-02-01,41,0,5
2018-02-02,11,0,9
2018-02-03,6,13,2
2018-02-04,3,19,6
2018-02-05,41,8,0
2018-02-06,13,3,3
2018-02-07,8,17,0
2018-02-08,14,9,1
2018-02-09,17,18,0
2018-02-10,1,20,5
2018-02-11,0,20,6
2018-02-12,16,5,4
2018-02-13,6,6,2
2018-02-14,30,9,3
2018-02-15,21,10,0
2018-02-16,23,1,2
2018-02-17,2,8,9
2018-02-18,2,7,7
2018-02-19,13,13,10
2018-02-20,19,12,41
2018-02-21,29,0,5
2018-02-22,26,9,3
2018-02-23,6,7,11
2018-02-24,1,9,14
2018-02-25,1,14,24
2018-02-26,9,5,17
2018-02-27,13,6,3
2018-02-28,12,0,16
2018-03-01,8,0,7
2018-03-02,2,1,0
2018-03-03,4,10,0
2018-03-04,6,7,0
2018-03-05,6,0,14
2018-03-06,26,3,0
2018-03-07,39,3,6
2018-03-08,14,7,9
2018-03-09,9,3,1
2018-03-10,2,0,1
2018-03-11,1,1,21
2018-03-12,20,1,9
2018-03-13,37,3,14
2018-03-14,26,2,1
2018-03-15,22,1,0
2018-03-16,18,0,0
2018-03-17,1,6,0
2018-03-18,1,10,7
2018-03-19,29,5,6
2018-03-20,38,0,2
2018-03-21,11,9,1
2018-03-22,32,5,0
2018-03-23,38,1,0
2018-03-24,6,6,10
2018-03-25,2,2,1
2018-03-26,14,5,13
2018-03-27,21,0,7
2018-03-28,24,0,2
2018-03-29,6,2,5
2018-03-30,6,6,0
2018-03-31,0,0,1
2018-04-01,0,0,0
2018-04-02,5,0,2
2018-04-03,20,3,6
2018-04-04,19,3,0
2018-04-05,21,1,3
2018-04-06,11,7,0
2018-04-07,1,11,0
2018-04-08,6,15,0
2018-04-09,22,3,1
2018-04-10,24,0,3
2018-04-11,14,0,0
2018-04-12,19,1,0
2018-04-13,29,5,0
2018-04-14,5,4,2
2018-04-15,5,4,0
2018-04-16,56,0,7
2018-04-17,56,0,4
2018-04-18,22,0,6
2018-04-19,21,3,2
2018-04-20,19,0,2
2018-04-21,1,5,0
2018-04-22,5,10,2
2018-04-23,19,2,2
2018-04-24,16,8,1
2018-04-25,10,0,1
2018-04-26,11,1,6
2018-04-27,24,0,3
2018-04-28,2,6,0
2018-04-29,0,4,1
2018-04-30,12,3,4
2018-05-01,3,0,9
2018-05-02,19,0,14
2018-05-03,10,0,13
2018-05-04,4,0,0
2018-05-05,2,0,0
2018-05-06,1,8,0
2018-05-07,23,2,6
2018-05-08,38,6,6
2018-05-09,3,3,2
2018-05-10,2,19,12
2018-05-11,4,14,0
2018-05-12,1,5,0
2018-05-13,0,5,0
2018-05-14,8,1,1
2018-05-15,5,1,0
2018-05-16,10,0,0
2018-05-17,4,0,0
2018-05-18,11,0,2
2018-05-19,3,0,1
2018-05-20,2,0,0
2018-05-21,21,0,3
2018-05-22,2,0,2
2018-05-23,15,0,4
2018-05-24,11,0,0
2018-05-25,10,0,6
2018-05-26,3,0,8
2018-05-27,4,0,2
2018-05-28,23,0,5
2018-05-29,24,0,15
2018-05-30,18,2,1
2018-05-31,15,0,12
2018-06-01,8,0,43
2018-06-02,1,13,0
2018-06-03,0,5,0
2018-06-04,48,1,15
2018-06-05,19,0,8
2018-06-06,10,3,5
2018-06-07,15,0,3
2018-06-08,5,0,1
2018-06-09,2,6,0
2018-06-10,0,5,15
2018-06-11,1,0,20
2018-06-12,8,1,0
2018-06-13,11,0,2
2018-06-14,40,0,2
2018-06-15,38,0,2
2018-06-16,4,0,6
2018-06-17,0,4,2
2018-06-18,20,0,5
2018-06-19,18,0,3
2018-06-20,17,0,11
2018-06-21,12,0,13
2018-06-22,2,0,15
2018-06-23,1,0,3
2018-06-24,0,0,7
2018-06-25,22,0,11
2018-06-26,24,0,12
2018-06-27,6,0,5
2018-06-28,14,0,13
2018-06-29,23,0,1
2018-06-30,4,0,2
2018-07-01,6,0,8
2018-07-02,12,0,2
2018-07-03,8,0,9
2018-07-04,30,3,4
2018-07-05,8,0,3
2018-07-06,17,0,12
2018-07-07,9,0,8
2018-07-08,8,0,10
2018-07-09,23,0,3
2018-07-10,12,0,11
2018-07-11,23,3,4
2018-07-12,9,0,4
2018-07-13,10,0,1
2018-07-14,5,9,0
2018-07-15,13,5,0
2018-07-16,12,0,2
