,twbs/bootstrap,mui/material-ui,ant-design/ant-design
2015-08-27,15,-0.49908899839999976,25
2015-08-28,2,-1.1491493888,10
2015-08-29,10,1.2532082688000008,1
2015-08-30,2,6.040249344,0
2015-08-31,3,-1.85961216,27
2015-09-01,6,2.094068224,39
2015-09-02,36,1.7829552128000004,2
2015-09-03,9,-0.17005578239999997,0
2015-09-04,0,-0.8304666624000003,0
2015-09-05,14,0.48587560959999976,0
2015-09-06,17,0.427329536,0
2015-09-07,3,1.4228529152000005,21
2015-09-08,9,2.2471119872000003,20
2015-09-09,4,-0.9559720959999999,14
2015-09-10,10,8.5073660928,14
2015-09-11,3,-2.1089605631999997,30
2015-09-12,2,0.0783031295999993,4
2015-09-13,1,-0.7807800320000002,8
2015-09-14,1,0.4956030975999999,13
2015-09-15,2,4.4301510656000005,18
2015-09-16,6,2.6344389632,27
2015-09-17,1,-0.46328453120000024,18
2015-09-18,0,-0.9435182079999999,7
2015-09-19,3,0.40531312640000006,2
2015-09-20,3,1.4551034879999998,1
2015-09-21,1,1.2527159295999999,2
2015-09-22,5,10.185727488,7
2015-09-23,4,12.3378564096,20
2015-09-24,7,19.79443968,8
2015-09-25,9,0.2690340863999996,4
2015-09-26,2,-1.530925670400002,0
2015-09-27,6,-3.185994752000002,0
2015-09-28,6,7.934744985599999,0
2015-09-29,5,15.4615959552,0
2015-09-30,0,5.193052467200001,0
2015-10-01,10,-3.1788294144,0
2015-10-02,2,3.759881216,17
2015-10-03,0,-3.4325185535999996,0
2015-10-04,3,-1.8455205888000008,0
2015-10-05,0,9.721081548799999,1
2015-10-06,2,10.8235264,3
2015-10-07,7,16.516136448,0
2015-10-08,4,-4.420037529599999,1
2015-10-09,3,0.5939746815999984,14
2015-10-10,3,1.1550513151999997,2
2015-10-11,5,-1.5911062528000004,3
2015-10-12,5,-1.7876531200000008,4
2015-10-13,11,1.718284288,3
2015-10-14,2,19.3805464576,13
2015-10-15,3,1.8319745024000023,9
2015-10-16,5,-0.6895898624000001,3
2015-10-17,4,-1.4394252288000011,0
2015-10-18,0,0.3174370303999996,0
2015-10-19,4,23.4789924864,32
2015-10-20,3,15.0201936896,8
2015-10-21,2,18.052166143999997,18
2015-10-22,1,-2.4920594432000005,23
2015-10-23,10,10.467148697599999,20
2015-10-24,14,-6.412232908800001,2
2015-10-25,4,-3.540625203200002,3
2015-10-26,7,2.4985824255999987,20
2015-10-27,14,3.0583713792000013,27
2015-10-28,7,0.8318074880000017,22
2015-10-29,9,1.4300297216000017,22
2015-10-30,8,1.755112448000001,22
2015-10-31,3,6.053700505600001,23
2015-11-01,0,3.2987303936000005,4
2015-11-02,5,-1.4757504000000008,15
2015-11-03,9,10.44424192,32
2015-11-04,2,2.5629608960000008,35
2015-11-05,1,4.1043229696,24
2015-11-06,1,1.0186184703999999,11
2015-11-07,0,0.5578491903999998,0
2015-11-08,0,2.9489997823999996,4
2015-11-09,0,12.7314306048,5
2015-11-10,0,11.727950745600001,12
2015-11-11,7,-0.27262781439999983,16
2015-11-12,6,16.319231283199997,13
2015-11-13,44,-1.1042033664000002,48
2015-11-14,1,-1.0584004608000015,19
2015-11-15,45,-1.0206821376000015,6
2015-11-16,11,1.6302117887999996,23
2015-11-17,0,2.5661460480000002,6
2015-11-18,0,2.445066752000001,24
2015-11-19,9,10.5520654336,43
2015-11-20,0,-3.9214929919999992,47
2015-11-21,0,4.036892672,3
2015-11-22,0,4.659241472,0
2015-11-23,4,1.3194856447999999,17
2015-11-24,3,8.7507648512,14
2015-11-25,1,1.4703760384000004,21
2015-11-26,5,11.185251328,23
2015-11-27,1,5.586888192000001,15
2015-11-28,1,6.761592524799999,8
2015-11-29,1,1.5925754879999996,4
2015-11-30,35,6.373966233599999,12
2015-12-01,7,2.8653217792000003,2
2015-12-02,2,8.308260966399999,13
2015-12-03,5,10.4271405056,12
2015-12-04,8,11.557025280000001,13
2015-12-05,19,1.7062252543999996,6
2015-12-06,9,8.149241344,9
2015-12-07,24,12.5978100736,10
2015-12-08,78,13.4394341376,12
2015-12-09,12,-0.5018721280000005,8
2015-12-10,4,8.633783603199998,13
2015-12-11,6,1.9265994751999997,8
2015-12-12,5,-3.02026752,5
2015-12-13,6,8.6272335872,3
2015-12-14,1,8.4067959808,5
2015-12-15,1,5.8150796288,14
2015-12-16,2,14.9958192128,24
2015-12-17,6,11.291222528,16
2015-12-18,1,0.06378321919999941,10
2015-12-19,0,2.9297603583999985,2
2015-12-20,3,2.4258787327999993,1
2015-12-21,9,-1.1338754048000004,4
2015-12-22,3,7.8297096192,9
2015-12-23,8,0.7498288128000006,15
2015-12-24,26,1.663912345600001,22
2015-12-25,25,7.002164736000001,29
2015-12-26,9,8.3102143488,1
2015-12-27,4,-4.2710565888,22
2015-12-28,0,6.7883542528,33
2015-12-29,4,10.7415334912,18
2015-12-30,2,17.4389895168,19
2015-12-31,4,3.2435449856000007,17
2016-01-01,5,-0.2830981120000011,34
2016-01-02,1,4.034431487999999,9
2016-01-03,0,3.9420907520000004,2
2016-01-04,20,4.034232115199999,7
2016-01-05,4,8.136742911999999,6
2016-01-06,58,14.2891920384,15
2016-01-07,22,1.6204002304000014,21
2016-01-08,3,3.1646451712,8
2016-01-09,13,10.745035776,4
2016-01-10,3,2.5548753919999996,7
2016-01-11,16,19.466600140799997,25
2016-01-12,0,4.560787660800001,15
2016-01-13,7,5.830266572799999,29
2016-01-14,10,7.1143171072,32
2016-01-15,6,1.0594468864,19
2016-01-16,4,6.335748300799999,4
2016-01-17,16,2.9650925568,7
2016-01-18,14,11.487239168,7
2016-01-19,7,0.17150586880000063,27
2016-01-20,4,7.6470360064000005,23
2016-01-21,11,3.1169702912000004,14
2016-01-22,0,3.7302356991999996,15
2016-01-23,6,8.9613841408,10
2016-01-24,8,1.1117591551999997,3
2016-01-25,5,10.155103129599999,15
2016-01-26,5,4.9462478848,29
2016-01-27,3,12.2985250816,17
2016-01-28,0,9.0481191936,19
2016-01-29,1,0.8706619391999997,4
2016-01-30,0,3.333019340799999,10
2016-01-31,1,-3.3809185792000003,0
2016-02-01,0,10.1961980928,30
2016-02-02,0,-0.4750408703999991,17
2016-02-03,2,14.751813734399999,14
2016-02-04,15,8.451924992000002,1
2016-02-05,5,16.395951923200002,1
2016-02-06,61,7.7060352000000005,1
2016-02-07,43,12.376167731199999,0
2016-02-08,28,37.5980469248,0
2016-02-09,29,4.028361113599999,0
2016-02-10,0,16.211871436799996,0
2016-02-11,6,17.2632961024,3
2016-02-12,0,15.402119884799998,0
2016-02-13,0,-1.741468569600002,0
2016-02-14,5,4.457242931199998,2
2016-02-15,2,4.129865215999999,1
2016-02-16,33,-0.24547573759999874,4
2016-02-17,49,5.172715008,12
2016-02-18,6,0.36025477120000104,10
2016-02-19,15,9.4604635136,13
2016-02-20,0,1.4779163648000022,4
2016-02-21,0,9.697905459200001,8
2016-02-22,0,9.827648,26
2016-02-23,9,5.242426060800001,15
2016-02-24,1,14.7761830912,16
2016-02-25,3,-3.8822658047999994,15
2016-02-26,2,15.807031193599999,7
2016-02-27,10,7.366625689600001,1
2016-02-28,11,16.6844130304,0
2016-02-29,1,-1.0588510208000006,5
2016-03-01,1,5.354235494399999,6
2016-03-02,1,16.409754112,25
2016-03-03,4,6.369422745600001,15
2016-03-04,4,-0.8276157440000009,12
2016-03-05,2,5.0436492288,7
2016-03-06,3,1.8447728640000003,5
2016-03-07,15,8.631115878400001,17
2016-03-08,0,6.7777594368,10
2016-03-09,0,-0.16915732480000045,23
2016-03-10,4,9.112200601600001,81
2016-03-11,6,0.02684600320000108,23
2016-03-12,0,9.411666022399999,2
2016-03-13,1,2.2988133376000004,8
2016-03-14,7,-0.9350804479999999,30
2016-03-15,2,2.1364416512,23
2016-03-16,7,8.1745579008,19
2016-03-17,1,10.1450698752,9
2016-03-18,0,3.2008529920000006,14
2016-03-19,2,-0.08969707520000014,2
2016-03-20,0,-3.0384404480000002,5
2016-03-21,0,3.1289643008,13
2016-03-22,5,5.7418970112,19
2016-03-23,0,-0.9202317311999999,20
2016-03-24,7,11.996839936,11
2016-03-25,0,4.932280217600002,33
2016-03-26,0,-1.7698594816000002,1
2016-03-27,2,0.6770623487999994,3
2016-03-28,0,4.9885865983999995,30
2016-03-29,0,20.35588608,29
2016-03-30,2,-2.098329087999999,47
2016-03-31,2,2.3227644927999984,25
2016-04-01,0,5.644627251199999,25
2016-04-02,3,6.1772478464,0
2016-04-03,0,-2.0645093376000005,4
2016-04-04,3,-1.5921952768000014,2
2016-04-05,1,2.0952322047999994,25
2016-04-06,7,-1.1503065087999986,30
2016-04-07,2,0.4796745728000005,31
2016-04-08,0,4.7504958464,12
2016-04-09,7,2.0176336896000007,4
2016-04-10,5,4.1778724864,10
2016-04-11,9,8.847153152,20
2016-04-12,2,9.7478659072,18
2016-04-13,1,2.8165794816,29
2016-04-14,3,4.507564646399999,19
2016-04-15,1,7.468663705599999,21
2016-04-16,0,0.8047593472000001,4
2016-04-17,6,0.7101879295999991,5
2016-04-18,1,2.2364760063999993,13
2016-04-19,1,2.2699821056000005,9
2016-04-20,0,2.3529834496000004,9
2016-04-21,4,6.4749739008,11
2016-04-22,0,3.7991309312000006,10
2016-04-23,4,-0.08004843520000016,2
2016-04-24,2,0.7333677056000001,3
2016-04-25,1,-0.9127552000000003,14
2016-04-26,0,0.6423824383999999,9
2016-04-27,0,4.6936698880000005,24
2016-04-28,2,7.984964608,15
2016-04-29,0,-1.0578175999999995,17
2016-04-30,0,7.094259302399999,1
2016-05-01,0,3.1056704512,0
2016-05-02,0,4.356428492799999,0
2016-05-03,0,8.1572179968,5
2016-05-04,0,7.2514349056,3
2016-05-05,0,0.8311862271999999,15
2016-05-06,1,8.767178137599998,14
2016-05-07,0,11.695265792,8
2016-05-08,32,5.5505139712,8
2016-05-09,17,-2.0466502656000003,17
2016-05-10,3,0.6346791935999994,30
2016-05-11,20,0.054079795199999836,33
2016-05-12,20,2.5326171136,12
2016-05-13,8,2.4472211456000004,12
2016-05-14,3,-1.4855516159999995,3
2016-05-15,2,1.3297400832000008,15
2016-05-16,4,-1.6548777983999992,26
2016-05-17,1,3.1070007296,11
2016-05-18,1,-0.3531630591999999,22
2016-05-19,1,4.0738458624,18
2016-05-20,3,3.4369829888000005,9
2016-05-21,0,1.2051015680000003,6
2016-05-22,2,3.4967413759999997,1
2016-05-23,0,-1.8108836864,23
2016-05-24,0,2.0347762687999995,8
2016-05-25,0,3.754898432,7
2016-05-26,6,1.2643492863999999,24
2016-05-27,0,5.4979920896,44
2016-05-28,2,0.7319905280000003,5
2016-05-29,0,-0.7387514880000003,0
2016-05-30,2,-1.1751130112000001,1
2016-05-31,22,10.248921088,5
2016-06-01,0,3.2833648640000006,11
2016-06-02,2,-0.4933363712000003,24
2016-06-03,4,2.2811806719999996,15
2016-06-04,15,5.1730690048,0
2016-06-05,9,-0.44587130880000014,0
2016-06-06,0,2.3510714367999994,11
2016-06-07,0,-0.8027080704000005,2
2016-06-08,2,3.7459732480000003,2
2016-06-09,1,5.142990233600001,2
2016-06-10,1,-1.3477720064,6
2016-06-11,0,3.6224218111999997,7
2016-06-12,0,4.1243039744,9
2016-06-13,6,-0.2150765567999997,14
2016-06-14,0,4.4660877312,7
2016-06-15,0,0.8665636864000001,21
2016-06-16,1,1.2713962495999998,16
2016-06-17,0,0.36945254400000027,7
2016-06-18,0,0.6544484352,3
2016-06-19,0,-0.1848418303999999,8
2016-06-20,6,-0.9385072639999997,6
2016-06-21,0,0.4137537536,9
2016-06-22,2,-0.5896035327999997,15
2016-06-23,0,-0.3742889983999998,15
2016-06-24,2,1.7711817728000003,13
2016-06-25,0,0.4459342848000003,1
2016-06-26,3,4.5438231552,5
2016-06-27,3,5.7642447872,17
2016-06-28,6,7.0554039296,14
2016-06-29,7,-2.6990597120000004,6
2016-06-30,0,-1.3028629504000009,1
2016-07-01,0,2.1508377599999995,3
2016-07-02,0,1.7710018559999998,0
2016-07-03,0,7.6632143872,0
2016-07-04,2,6.4292458496,15
2016-07-05,1,-0.08020121599999985,8
2016-07-06,2,-0.14618286079999976,10
