,django/django,rails/rails,pallets/flask
2018-07-08,0.0,8.1399180288,0
2018-07-09,13.0,1.4472987647999993,0
2018-07-10,9.0,2.3562556415999993,0
2018-07-11,12.0,0.6422263807999999,2
2018-07-12,0.0,4.2126363648,0
2018-07-13,3.0,0.8849002496000002,0
2018-07-14,1.0,2.5102374912,0
2018-07-15,0.0,5.5158340608,0
2018-07-16,2.0,7.974115532800001,0
2018-07-17,1.0,2.1876140032,0
2018-07-18,4.0,5.8940051455999996,0
2018-07-19,8.0,4.4629508096,0
2018-07-20,6.0,17.4976697344,3
2018-07-21,2.0,1.8526036991999995,0
2018-07-22,2.0,12.398437478399998,0
2018-07-23,1.0,-3.0328391680000006,0
2018-07-24,3.0,-0.7973271552000005,2
2018-07-25,6.0,2.9996839935999997,0
2018-07-26,5.0,18.8717879296,0
2018-07-27,5.0,-1.3051293695999986,0
2018-07-28,0.0,1.8899918847999997,0
2018-07-29,0.0,4.339793305600001,0
2018-07-30,4.0,7.331171532800001,0
2018-07-31,4.0,19.7137129472,0
2018-08-01,8.0,-1.0248451072,0
2018-08-02,10.0,1.3317178367999984,0
2018-08-03,7.0,1.9955598335999998,0
2018-08-04,5.0,-2.6665509887999996,0
2018-08-05,2.0,2.7087324159999993,0
2018-08-06,3.0,-0.5892189183999998,0
2018-08-07,5.0,6.0103502848,0
2018-08-08,4.0,7.106582937600002,0
2018-08-09,0.0,5.460740198400001,0
2018-08-10,2.0,2.5379885055999996,0
2018-08-11,0.0,9.9999149056,0
2018-08-12,1.0,2.733016985599999,0
2018-08-13,2.0,10.4325482496,0
2018-08-14,0.0,5.153752063999999,0
2018-08-15,2.0,9.4608172032,0
2018-08-16,9.0,12.6422867968,0
2018-08-17,7.0,-1.4704696320000004,0
2018-08-18,6.0,0.632896614399999,0
2018-08-19,1.0,19.3438934016,0
2018-08-20,8.0,10.0936183808,0
2018-08-21,5.0,-2.8516318208000007,0
2018-08-22,4.0,27.517179494399997,0
2018-08-23,5.0,9.830573568000002,0
2018-08-24,0.0,-2.3308553216000014,1
2018-08-25,3.0,2.3246051327999986,0
2018-08-26,0.0,-5.040233472000001,0
2018-08-27,2.0,3.853714432,0
2018-08-28,7.0,6.276401356800001,0
2018-08-29,2.0,16.8186519552,0
2018-08-30,1.0,14.505247334400002,0
2018-08-31,5.0,2.4674235392000003,0
2018-09-01,1.0,-2.661409689600001,0
2018-09-02,0.0,2.298120601599999,0
2018-09-03,1.0,1.4156141567999994,0
2018-09-04,1.0,2.804758015999999,0
2018-09-05,0.0,5.7402115072,0
2018-09-06,1.0,16.215207424,0
2018-09-07,0.0,1.876232089600002,0
2018-09-08,3.0,3.4596335615999996,0
2018-09-09,0.0,3.9728230399999998,1
2018-09-10,9.0,4.1432352768,0
2018-09-11,7.0,15.164305817599999,0
2018-09-12,1.0,14.993322496000001,0
2018-09-13,3.0,19.7166416896,0
2018-09-14,4.0,0.8360894464000008,0
2018-09-15,0.0,1.325979135999999,0
2018-09-16,1.0,3.599515340799999,0
2018-09-17,5.0,9.8981265408,6
2018-09-18,6.0,22.9050590208,0
2018-09-19,3.0,18.7636799488,4
2018-09-20,0.0,14.6529429504,0
2018-09-21,0.0,7.651153817600001,3
2018-09-22,0.0,-5.1012625408000005,0
2018-09-23,0.0,3.1800883199999976,2
2018-09-24,0.0,7.385411788799999,0
2018-09-25,11.0,8.8538788864,0
2018-09-26,11.0,11.344999936,0
2018-09-27,1.0,25.6161025024,0
2018-09-28,2.0,23.478145228800003,0
2018-09-29,2.0,-9.962246656000001,0
2018-09-30,0.0,4.6082459647999965,1
2018-10-01,15.0,5.733705830399999,0
2018-10-02,14.0,30.7180283904,0
2018-10-03,5.0,14.8198274048,0
2018-10-04,7.0,17.144147968,0
2018-10-05,1.0,20.5442951168,0
2018-10-06,0.0,-1.5968730111999996,0
2018-10-07,0.0,6.193495142399998,0
2018-10-08,2.0,10.837074227199999,0
2018-10-09,3.0,8.2145391616,0
2018-10-10,4.0,6.479169331200001,0
2018-10-11,3.0,7.9799877632000005,0
2018-10-12,4.0,2.269129113600001,0
2018-10-13,1.0,-3.3585585151999986,1
2018-10-14,2.0,1.6945559552000002,0
2018-10-15,4.0,6.1374841856,0
2018-10-16,2.0,9.576830976,0
2018-10-17,6.0,18.6935696384,0
2018-10-18,2.0,3.418881843200001,0
2018-10-19,0.0,14.070986752,0
2018-10-20,2.0,10.725500313600001,0
2018-10-21,4.0,5.634391039999999,0
2018-10-22,5.0,9.4385312768,0
2018-10-23,3.0,10.997145497599998,2
2018-10-24,6.0,-0.5765995520000011,2
2018-10-25,8.0,6.3809060864,2
2018-10-26,1.0,-0.8573500416000002,0
2018-10-27,2.0,0.6954515456000001,2
2018-10-28,1.0,4.273878016,0
2018-10-29,9.0,3.1280135168000007,0
2018-10-30,5.0,15.4055804928,1
2018-10-31,2.0,-2.8618010623999988,0
2018-11-01,6.0,0.5170930687999995,0
2018-11-02,1.0,2.1617964032,0
2018-11-03,4.0,1.2492132352,0
2018-11-04,2.0,2.6093153279999997,1
2018-11-05,0.0,5.544909312,0
2018-11-06,1.0,9.9544931328,0
2018-11-07,2.0,4.764772659200001,2
2018-11-08,1.0,18.0559243264,0
2018-11-09,8.0,3.5982123008,0
2018-11-10,6.0,-0.1247548416000015,0
2018-11-11,1.0,2.141670399999999,0
2018-11-12,3.0,2.4281718783999993,1
2018-11-13,6.0,13.600852992,6
2018-11-14,5.0,4.520070860800001,0
2018-11-15,5.0,0.15445319679999958,0
2018-11-16,3.0,4.3290189824,0
2018-11-17,4.0,-0.8298252287999994,0
2018-11-18,3.0,0.32912281599999993,0
2018-11-19,4.0,14.755117056,0
2018-11-20,8.0,11.1663353856,0
2018-11-21,2.0,3.4000935936000003,0
2018-11-22,1.0,3.3226719231999997,0
2018-11-23,5.0,6.870859776,0
2018-11-24,1.0,0.4667729920000001,0
2018-11-25,1.0,3.484036300799999,0
2018-11-26,4.0,10.4781897728,0
2018-11-27,8.0,9.089426124800001,0
2018-11-28,2.0,16.5371507712,1
2018-11-29,3.0,0.7559904256000003,0
2018-11-30,6.0,5.8031842303999985,0
2018-12-01,0.0,1.7904411647999998,0
2018-12-02,0.0,1.625704345599999,0
2018-12-03,3.0,8.195369984,0
2018-12-04,1.0,16.2349908992,0
2018-12-05,4.0,8.1240868864,0
2018-12-06,7.0,-1.487583129599999,0
2018-12-07,1.0,4.516961075199999,0
2018-12-08,0.0,-3.4311114752,2
2018-12-09,1.0,-0.7848387584000012,0
2018-12-10,2.0,6.7312228352,0
2018-12-11,0.0,0.6525582336000006,0
2018-12-12,1.0,18.3127570432,0
2018-12-13,0.0,11.209099161600001,0
2018-12-14,0.0,14.942779904,0
2018-12-15,1.0,-1.1818444800000005,0
2018-12-16,0.0,1.1519314943999976,0
2018-12-17,5.0,3.9292435455999986,0
2018-12-18,0.0,13.8411482112,0
2018-12-19,3.0,1.8616182784,0
2018-12-20,0.0,12.152405606399999,0
2018-12-21,7.0,12.6895026176,2
2018-12-22,13.0,-7.091342028799999,0
2018-12-23,0.0,-0.6776213504000013,0
2018-12-24,5.0,1.0482374655999998,0
2018-12-25,0.0,-1.7705411584,0
2018-12-26,5.0,9.0093790208,0
2018-12-27,4.0,6.411748556800001,0
2018-12-28,1.0,10.1950384128,0
2018-12-29,0.0,-1.8103758847999991,0
2018-12-30,3.0,9.0354509824,0
2018-12-31,2.0,7.939805184,0
2019-01-01,4.0,9.4336375808,0
2019-01-02,4.0,5.750948966399999,0
2019-01-03,2.0,7.9981874176,0
2019-01-04,2.0,13.5590675456,2
2019-01-05,0.0,15.233120768000001,7
2019-01-06,0.0,-5.9371042816,40
2019-01-07,0.0,2.5111195647999978,15
2019-01-08,1.0,12.6296563712,0
2019-01-09,8.0,10.9167875072,0
2019-01-10,6.0,5.3339777023999995,0
2019-01-11,7.0,8.0424836096,0
2019-01-12,6.0,-6.1746655232,3
2019-01-13,1.0,3.5683856384,0
2019-01-14,15.0,10.3218102272,0
2019-01-15,6.0,4.1024714752,0
2019-01-16,7.0,18.521719603199998,0
2019-01-17,21.0,49.8271060992,0
2019-01-18,3.0,3.0572424192000014,1
2019-01-19,3.0,-0.41796577280000236,0
2019-01-20,0.0,-3.7576851456000036,0
2019-01-21,6.0,4.511924735999998,0
2019-01-22,3.0,10.228731699199999,0
2019-01-23,5.0,5.1545355264,0
2019-01-24,1.0,10.674557030399999,0
2019-01-25,1.0,4.817992396800003,2
2019-01-26,1.0,9.650325811200002,0
2019-01-27,3.0,-4.428096307200001,0
2019-01-28,8.0,13.187995647999998,0
2019-01-29,3.0,8.1249603584,0
2019-01-30,5.0,15.994660864,0
2019-01-31,4.0,8.283162009600002,0
2019-02-01,2.0,11.821523251199999,0
2019-02-02,2.0,-1.7368286208,0
2019-02-03,0.0,-4.345682636800001,0
2019-02-04,6.0,16.5065655296,0
2019-02-05,14.0,13.629086515200001,0
2019-02-06,8.0,4.5525604352,0
2019-02-07,3.0,13.7031087104,0
2019-02-08,6.0,8.4337544192,0
2019-02-09,13.0,1.8464147455999997,0
2019-02-10,2.0,-1.7026666496000011,0
2019-02-11,7.0,16.8972537856,0
2019-02-12,5.0,9.1157764096,0
2019-02-13,4.0,11.068186112,0
2019-02-14,7.0,8.660341248,0
2019-02-15,1.0,7.8921828352,0
2019-02-16,1.0,8.06849792,0
2019-02-17,0.0,2.1929133055999994,0
2019-02-18,0.0,4.430655078399998,0
2019-02-19,0.0,12.6568587264,0
2019-02-20,3.0,14.1573584896,0
2019-02-21,6.0,10.1588120576,0
2019-02-22,0.0,5.2751915008,0
2019-02-23,1.0,6.238754713599999,2
2019-02-24,1.0,0.5712675839999992,2
2019-02-25,6.0,23.941428736,0
2019-02-26,2.0,12.1297649664,0
2019-02-27,4.0,2.2683801599999995,0
2019-02-28,3.0,-0.9360136192000006,0
2019-03-01,5.0,6.7523910655999995,0
2019-03-02,3.0,-5.6286815232,0
2019-03-03,1.0,9.7860799488,0
2019-03-04,1.0,5.1588087808,0
2019-03-05,3.0,5.318876979200001,0
2019-03-06,1.0,12.297048166400002,2
2019-03-07,3.0,18.1163728896,0
2019-03-08,3.0,16.2654222336,0
2019-03-09,2.0,17.359596953599997,0
2019-03-10,0.0,-2.672527564800003,0
2019-03-11,2.0,23.566892543999998,0
2019-03-12,3.0,15.9502005248,0
2019-03-13,1.0,4.530919935999998,0
2019-03-14,2.0,-1.6849530880000003,0
2019-03-15,3.0,4.4705738751999995,0
2019-03-16,0.0,2.652654182400001,0
2019-03-17,0.0,11.4113680384,0
2019-03-18,6.0,11.2698925056,0
2019-03-19,0.0,14.7942044672,0
2019-03-20,5.0,5.615640576000002,0
2019-03-21,10.0,-2.1082466304,0
2019-03-22,7.0,14.127280639999999,0
2019-03-23,7.0,3.1839716352000007,0
2019-03-24,1.0,2.285683097599999,0
2019-03-25,5.0,6.0515661824,0
2019-03-26,1.0,13.784571187200001,0
2019-03-27,10.0,5.234719948800001,0
2019-03-28,8.0,3.0793055232000004,0
2019-03-29,4.0,8.981706854399999,0
2019-03-30,10.0,8.316293120000001,0
2019-03-31,0.0,27.0186906624,0
2019-04-01,7.0,8.18503168,0
2019-04-02,2.0,12.563003084799998,0
2019-04-03,4.0,22.150586777599997,0
2019-04-04,1.0,20.9417821184,0
2019-04-05,5.0,9.862413107199998,0
