,elastic/elasticsearch,meilisearch/meilisearch,typesense/typesense
2022-08-04,25,2.0,4
2022-08-05,3,0.0,3
2022-08-06,0,0.0,0
2022-08-07,1,0.0,2
2022-08-08,20,1.0,2
2022-08-09,17,0.0,1
2022-08-10,10,18.0,2
2022-08-11,16,3.0,0
2022-08-12,13,3.0,0
2022-08-13,2,0.0,1
2022-08-14,0,0.0,0
2022-08-15,15,0.0,0
2022-08-16,16,3.0,3
2022-08-17,32,52.0,2
2022-08-18,15,16.0,2
2022-08-19,0,1.0,1
2022-08-20,0,0.0,0
2022-08-21,0,0.0,0
2022-08-22,20,20.0,0
2022-08-23,16,13.0,0
2022-08-24,14,8.0,1
2022-08-25,11,0.0,2
2022-08-26,21,0.0,0
2022-08-27,1,1.0,2
2022-08-28,0,0.0,0
2022-08-29,15,3.0,2
2022-08-30,19,1.0,2
2022-08-31,12,5.0,2
2022-09-01,22,8.0,2
2022-09-02,3,3.0,2
2022-09-03,0,2.0,2
2022-09-04,0,3.0,0
2022-09-05,7,2.0,1
2022-09-06,17,2.0,2
2022-09-07,37,15.0,1
2022-09-08,34,3.0,2
2022-09-09,23,1.0,2
2022-09-10,1,0.0,1
2022-09-11,0,0.0,3
2022-09-12,25,1.0,1
2022-09-13,22,4.0,1
2022-09-14,16,4.0,1
2022-09-15,22,0.0,3
2022-09-16,1,0.0,1
2022-09-17,0,0.0,2
2022-09-18,0,0.0,0
2022-09-19,18,1.0,0
2022-09-20,28,0.0,2
2022-09-21,18,6.0,3
2022-09-22,15,4.0,2
2022-09-23,13,0.0,0
2022-09-24,1,0.0,0
2022-09-25,1,0.0,1
2022-09-26,33,0.0,0
2022-09-27,28,0.0,0
2022-09-28,18,1.0,0
2022-09-29,23,3.0,2
2022-09-30,17,1.0,0
2022-10-01,1,1.0,0
2022-10-02,0,2.0,0
2022-10-03,15,7.0,0
2022-10-04,21,8.0,0
2022-10-05,23,6.0,1
2022-10-06,15,12.0,1
2022-10-07,3,2.0,3
2022-10-08,0,0.0,0
2022-10-09,1,3.0,0
2022-10-10,25,5.0,0
2022-10-11,28,2.0,2
2022-10-12,31,11.0,0
2022-10-13,19,8.0,0
2022-10-14,38,4.0,0
2022-10-15,1,0.0,2
2022-10-16,0,0.0,0
2022-10-17,15,11.0,1
2022-10-18,21,15.0,3
2022-10-19,13,12.0,1
2022-10-20,19,3.0,1
2022-10-21,4,0.0,1
2022-10-22,0,0.0,0
2022-10-23,0,0.0,0
2022-10-24,15,7.0,1
2022-10-25,15,9.0,1
2022-10-26,13,80.0,0
2022-10-27,6,376.0,0
2022-10-28,7,6.0,0
2022-10-29,0,1.0,0
2022-10-30,0,4.0,1
2022-10-31,18,7.0,3
2022-11-01,25,0.0,1
2022-11-02,20,1.0,1
2022-11-03,25,5.0,1
2022-11-04,23,2.0,0
2022-11-05,3,0.0,0
2022-11-06,0,0.0,1
2022-11-07,19,0.0,0
2022-11-08,31,10.0,1
2022-11-09,28,1.0,2
2022-11-10,35,4.0,0
2022-11-11,9,0.0,1
2022-11-12,0,2.0,0
2022-11-13,0,2.0,0
2022-11-14,24,3.0,1
2022-11-15,29,4.0,2
2022-11-16,26,1.0,1
2022-11-17,22,8.0,2
2022-11-18,27,0.0,1
2022-11-19,3,0.0,1
2022-11-20,1,0.0,0
2022-11-21,21,1.0,0
2022-11-22,28,0.0,0
2022-11-23,24,3.0,1
2022-11-24,30,6.0,2
2022-11-25,1,0.0,1
2022-11-26,0,3.0,0
2022-11-27,1,0.0,0
2022-11-28,17,11.0,0
2022-11-29,14,2.0,0
2022-11-30,13,7.0,2
2022-12-01,9,14.0,1
2022-12-02,11,0.0,0
2022-12-03,0,8.0,2
2022-12-04,0,3.0,0
2022-12-05,20,11.0,0
2022-12-06,24,11.0,1
2022-12-07,28,18.0,2
2022-12-08,19,13.0,2
2022-12-09,3,2.0,1
2022-12-10,0,1.0,1
2022-12-11,3,4.0,0
2022-12-12,31,7.0,0
2022-12-13,18,13.0,2
2022-12-14,25,8.0,2
2022-12-15,15,3.0,5
2022-12-16,15,3.0,0
2022-12-17,2,0.0,0
2022-12-18,1,0.0,1
2022-12-19,12,14.0,2
2022-12-20,18,7.0,4
2022-12-21,27,13.0,3
2022-12-22,28,17.0,1
2022-12-23,12,0.0,2
2022-12-24,1,0.0,0
2022-12-25,0,1.0,1
2022-12-26,6,3.0,0
2022-12-27,9,0.0,0
2022-12-28,7,0.0,1
2022-12-29,3,0.0,1
2022-12-30,7,0.0,0
2022-12-31,1,0.0,0
2023-01-01,0,0.0,1
2023-01-02,0,5.0,2
2023-01-03,18,3.0,7
2023-01-04,24,9.0,1
2023-01-05,17,14.0,4
2023-01-06,3,1.0,3
2023-01-07,0,0.0,1
2023-01-08,0,0.0,0
2023-01-09,29,8.0,8
2023-01-10,24,6.0,4
2023-01-11,30,13.0,4
2023-01-12,23,9.0,0
2023-01-13,34,1.0,1
2023-01-14,3,0.0,0
2023-01-15,0,0.0,1
2023-01-16,24,10.0,2
2023-01-17,30,16.0,5
2023-01-18,24,16.0,3
2023-01-19,32,18.0,5
2023-01-20,4,0.0,1
2023-01-21,3,0.0,4
2023-01-22,1,0.0,1
2023-01-23,39,12.0,0
2023-01-24,43,8.0,1
2023-01-25,31,18.0,3
2023-01-26,30,4.0,4
2023-01-27,35,0.0,4
2023-01-28,1,0.0,1
2023-01-29,0,0.0,0
2023-01-30,33,5.0,5
2023-01-31,26,26.0,2
2023-02-01,30,9.0,0
2023-02-02,40,15.0,3
2023-02-03,3,0.0,3
2023-02-04,3,0.0,5
2023-02-05,0,0.0,3
2023-02-06,37,9.0,3
2023-02-07,47,0.0,2
2023-02-08,25,9.0,0
2023-02-09,27,5.0,5
2023-02-10,26,2.0,3
2023-02-11,5,0.0,0
2023-02-12,1,0.0,2
2023-02-13,25,13.0,1
2023-02-14,28,14.0,2
2023-02-15,13,2.0,2
2023-02-16,19,13.0,33
2023-02-17,6,1.0,3
2023-02-18,1,0.0,2
2023-02-19,0,0.0,0
2023-02-20,21,19.0,4
2023-02-21,26,8.0,4
2023-02-22,25,16.0,3
2023-02-23,27,21.0,0
2023-02-24,14,0.0,1
2023-02-25,1,0.0,0
2023-02-26,0,0.0,3
2023-02-27,18,2.0,4
2023-02-28,24,1.0,1
2023-03-01,27,1.0,2
2023-03-02,26,0.0,3
2023-03-03,3,3.0,9
2023-03-04,2,0.0,0
2023-03-05,0,0.0,3
2023-03-06,26,9.0,3
2023-03-07,23,4.0,2
2023-03-08,35,10.0,0
2023-03-09,17,15.0,0
2023-03-10,32,0.0,54
2023-03-11,3,0.0,2
2023-03-12,0,0.0,0
2023-03-13,3,3.0,2
2023-03-14,7,2.0,3
2023-03-15,5,6.0,2
2023-03-16,6,1.0,8
2023-03-17,1,0.0,0
2023-03-18,3,0.0,4
2023-03-19,0,0.0,4
2023-03-20,22,75.0,2
2023-03-21,32,3.0,0
2023-03-22,28,2.0,3
2023-03-23,20,8.0,3
2023-03-24,22,0.0,0
2023-03-25,1,0.0,1
2023-03-26,2,1.0,0
2023-03-27,41,8.0,0
2023-03-28,36,6.0,1
2023-03-29,29,11.0,1
2023-03-30,34,25.0,0
2023-03-31,34,1.0,2
2023-04-01,0,0.0,1
2023-04-02,0,0.0,4
2023-04-03,12,16.0,2
2023-04-04,23,12.0,0
2023-04-05,34,12.0,6
2023-04-06,20,25.0,1
2023-04-07,6,6.0,2
2023-04-08,0,0.0,0
2023-04-09,2,0.0,0
2023-04-10,16,0.0,4
2023-04-11,39,1.0,3
2023-04-12,25,16.0,1
2023-04-13,24,16.0,2
2023-04-14,5,0.0,0
2023-04-15,1,0.0,0
2023-04-16,0,0.0,0
2023-04-17,48,0.0,2
2023-04-18,40,4.0,3
2023-04-19,22,0.0,2
2023-04-20,43,0.0,1
2023-04-21,35,0.0,1
2023-04-22,4,0.0,1
2023-04-23,0,0.0,0
2023-04-24,33,8.0,1
2023-04-25,24,7.0,1
2023-04-26,22,9.0,0
2023-04-27,29,3.0,0
2023-04-28,20,1.0,1
2023-04-29,3,4.0,1
2023-04-30,1,0.0,0
2023-05-01,13,0.0,6
2023-05-02,28,18.0,2
2023-05-03,39,33.0,3
2023-05-04,33,14.0,8
2023-05-05,21,0.0,0
2023-05-06,1,1.0,4
2023-05-07,2,0.0,2
2023-05-08,18,3.0,4
2023-05-09,32,0.0,4
2023-05-10,25,6.0,4
2023-05-11,25,1.0,2
2023-05-12,17,0.0,59
2023-05-13,1,0.0,3
2023-05-14,0,0.0,3
2023-05-15,22,7.0,3
2023-05-16,31,10.0,57
2023-05-17,28,2.0,19
2023-05-18,10,0.0,4
2023-05-19,1,0.0,5
2023-05-20,0,0.0,2
2023-05-21,0,0.0,0
