,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2016-12-16,69,3,17
2016-12-17,28,3,7
2016-12-18,5,4,2
2016-12-19,35,3,17
2016-12-20,37,4,30
2016-12-21,64,3,19
2016-12-22,57,3,26
2016-12-23,17,4,7
2016-12-24,6,1,4
2016-12-25,4,0,4
2016-12-26,3,2,4
2016-12-27,26,2,24
2016-12-28,25,2,17
2016-12-29,28,110,36
2016-12-30,14,14,23
2016-12-31,5,6,34
2017-01-01,5,8,10
2017-01-02,0,1,8
2017-01-03,28,6,27
2017-01-04,52,8,72
2017-01-05,33,2,35
2017-01-06,49,6,6
2017-01-07,12,8,1
2017-01-08,10,5,0
2017-01-09,27,6,9
2017-01-10,53,6,9
2017-01-11,47,7,8
2017-01-12,51,4,8
2017-01-13,57,3,22
2017-01-14,10,2,4
2017-01-15,9,4,2
2017-01-16,9,4,16
2017-01-17,51,1,22
2017-01-18,43,3,29
2017-01-19,68,8,16
2017-01-20,63,6,17
2017-01-21,10,8,4
2017-01-22,7,7,9
2017-01-23,20,2,11
2017-01-24,54,4,25
2017-01-25,50,8,20
2017-01-26,37,8,13
2017-01-27,51,12,20
2017-01-28,15,6,17
2017-01-29,8,5,11
2017-01-30,32,3,8
2017-01-31,46,2,54
2017-02-01,71,2,23
2017-02-02,54,4,16
2017-02-03,71,1,7
2017-02-04,19,6,4
2017-02-05,7,2,0
2017-02-06,66,5,9
2017-02-07,133,8,19
2017-02-08,71,3,12
2017-02-09,55,1,20
2017-02-10,75,3,15
2017-02-11,40,0,5
2017-02-12,9,2,2
2017-02-13,27,2,9
2017-02-14,94,2,32
2017-02-15,61,4,14
2017-02-16,50,3,35
2017-02-17,38,0,25
2017-02-18,11,5,5
2017-02-19,9,7,0
2017-02-20,9,0,9
2017-02-21,29,5,26
2017-02-22,69,7,18
2017-02-23,43,3,63
2017-02-24,38,7,8
2017-02-25,16,3,8
2017-02-26,1,0,14
2017-02-27,46,2,15
2017-02-28,38,11,34
2017-03-01,63,4,19
2017-03-02,48,4,27
2017-03-03,52,7,25
2017-03-04,20,1,9
2017-03-05,18,6,10
2017-03-06,22,4,14
2017-03-07,48,1,21
2017-03-08,46,1,16
2017-03-09,39,5,16
2017-03-10,43,8,16
2017-03-11,18,6,7
2017-03-12,5,4,5
2017-03-13,40,7,21
2017-03-14,56,5,18
2017-03-15,56,10,25
2017-03-16,61,7,15
2017-03-17,44,5,17
2017-03-18,13,6,1
2017-03-19,2,3,3
2017-03-20,47,5,8
2017-03-21,34,7,7
2017-03-22,62,8,28
2017-03-23,52,8,26
2017-03-24,39,7,34
2017-03-25,11,2,4
2017-03-26,5,2,4
2017-03-27,43,4,19
2017-03-28,62,6,19
2017-03-29,55,11,27
2017-03-30,55,5,12
2017-03-31,78,7,20
2017-04-01,18,3,4
2017-04-02,2,4,3
2017-04-03,34,10,18
2017-04-04,31,4,15
2017-04-05,30,8,17
2017-04-06,36,4,31
2017-04-07,42,2,20
2017-04-08,16,6,12
2017-04-09,3,3,5
2017-04-10,44,10,6
2017-04-11,49,5,33
2017-04-12,35,12,32
2017-04-13,35,12,12
2017-04-14,39,12,13
2017-04-15,8,6,3
2017-04-16,10,2,3
2017-04-17,39,7,21
2017-04-18,45,5,44
2017-04-19,42,8,32
2017-04-20,55,7,26
2017-04-21,26,6,7
2017-04-22,16,2,8
2017-04-23,4,0,4
2017-04-24,16,10,23
2017-04-25,28,9,23
2017-04-26,40,9,18
2017-04-27,59,12,11
2017-04-28,50,4,40
2017-04-29,21,0,7
2017-04-30,8,5,3
2017-05-01,49,8,68
2017-05-02,48,4,25
2017-05-03,32,3,27
2017-05-04,52,9,18
2017-05-05,41,1,13
2017-05-06,29,8,4
2017-05-07,8,1,4
2017-05-08,10,8,25
2017-05-09,2,5,26
2017-05-10,65,11,24
2017-05-11,90,11,8
2017-05-12,79,9,12
2017-05-13,8,7,1
2017-05-14,6,5,2
2017-05-15,43,6,12
2017-05-16,50,11,9
2017-05-17,65,19,17
2017-05-18,59,13,11
2017-05-19,65,19,15
2017-05-20,11,11,6
2017-05-21,11,5,3
2017-05-22,44,5,6
2017-05-23,59,13,13
2017-05-24,55,10,23
2017-05-25,51,11,32
2017-05-26,63,18,16
2017-05-27,32,3,1
2017-05-28,7,0,1
2017-05-29,9,0,0
2017-05-30,33,5,15
2017-05-31,64,6,15
2017-06-01,50,6,16
2017-06-02,41,7,44
2017-06-03,12,7,5
2017-06-04,2,1,2
2017-06-05,31,3,19
2017-06-06,84,5,24
2017-06-07,63,3,36
2017-06-08,46,4,13
2017-06-09,55,8,10
2017-06-10,11,4,5
2017-06-11,10,0,70
2017-06-12,18,5,8
2017-06-13,73,4,30
2017-06-14,99,7,20
2017-06-15,33,2,29
2017-06-16,63,6,13
2017-06-17,5,2,49
2017-06-18,2,2,0
2017-06-19,32,7,20
2017-06-20,55,7,18
2017-06-21,63,2,29
2017-06-22,68,6,32
2017-06-23,39,5,18
2017-06-24,9,1,13
2017-06-25,3,1,0
2017-06-26,47,2,13
2017-06-27,59,6,16
2017-06-28,42,11,17
2017-06-29,43,1,17
2017-06-30,44,5,10
2017-07-01,14,6,2
2017-07-02,7,0,4
2017-07-03,5,4,17
2017-07-04,16,2,17
2017-07-05,24,5,10
2017-07-06,71,4,7
2017-07-07,54,1,13
2017-07-08,12,1,5
2017-07-09,2,0,3
2017-07-10,35,6,18
2017-07-11,39,7,25
2017-07-12,47,29,30
2017-07-13,45,9,45
2017-07-14,41,9,32
2017-07-15,11,2,4
2017-07-16,5,4,3
2017-07-17,20,2,11
2017-07-18,50,3,20
2017-07-19,41,3,31
2017-07-20,44,10,19
2017-07-21,51,6,19
2017-07-22,12,1,4
2017-07-23,2,1,6
2017-07-24,41,1,10
2017-07-25,83,5,60
2017-07-26,42,3,26
2017-07-27,46,4,24
2017-07-28,48,5,8
2017-07-29,10,2,6
2017-07-30,8,5,2
2017-07-31,41,7,8
2017-08-01,33,14,22
2017-08-02,53,7,16
2017-08-03,51,19,19
2017-08-04,106,7,18
2017-08-05,11,3,0
2017-08-06,3,2,11
2017-08-07,32,4,11
2017-08-08,36,7,13
2017-08-09,52,7,24
2017-08-10,69,8,16
2017-08-11,48,2,7
2017-08-12,9,7,5
2017-08-13,1,2,1
2017-08-14,33,3,18
2017-08-15,36,5,22
2017-08-16,48,5,32
2017-08-17,60,2,19
2017-08-18,49,5,17
2017-08-19,13,1,4
2017-08-20,4,1,1
2017-08-21,39,4,8
2017-08-22,40,3,13
2017-08-23,40,7,19
2017-08-24,66,14,21
2017-08-25,46,3,50
2017-08-26,12,6,14
2017-08-27,5,4,6
2017-08-28,50,4,9
2017-08-29,48,11,13
2017-08-30,49,13,26
2017-08-31,27,7,21
2017-09-01,28,4,16
2017-09-02,8,4,6
2017-09-03,27,1,2
2017-09-04,22,7,3
2017-09-05,68,5,250
2017-09-06,52,9,22
2017-09-07,68,9,44
2017-09-08,61,9,25
2017-09-09,9,10,6
2017-09-10,3,16,9
2017-09-11,33,9,22
2017-09-12,42,5,16
2017-09-13,50,5,38
2017-09-14,48,1,19
2017-09-15,53,4,18
2017-09-16,21,0,2
2017-09-17,13,6,18
2017-09-18,40,4,14
2017-09-19,52,4,38
2017-09-20,55,6,29
2017-09-21,40,3,30
2017-09-22,57,9,21
2017-09-23,15,2,9
2017-09-24,11,8,6
2017-09-25,27,15,19
2017-09-26,58,10,21
2017-09-27,60,9,11
2017-09-28,76,4,30
2017-09-29,60,9,8
2017-09-30,14,2,16
2017-10-01,7,6,1
2017-10-02,58,3,16
2017-10-03,56,4,22
2017-10-04,73,7,17
2017-10-05,67,2,36
2017-10-06,69,4,28
2017-10-07,16,2,11
2017-10-08,9,3,3
2017-10-09,28,4,5
2017-10-10,54,10,32
2017-10-11,32,8,23
2017-10-12,56,2,21
2017-10-13,68,9,26
2017-10-14,10,7,9
2017-10-15,12,4,3
2017-10-16,54,4,22
2017-10-17,40,7,7
2017-10-18,48,4,12
2017-10-19,51,0,18
2017-10-20,57,0,41
2017-10-21,11,7,2
2017-10-22,7,2,4
2017-10-23,44,1,10
2017-10-24,39,1,27
2017-10-25,65,6,13
2017-10-26,53,2,31
2017-10-27,66,5,9
2017-10-28,17,7,19
2017-10-29,4,0,1
2017-10-30,44,3,16
2017-10-31,59,3,25
2017-11-01,38,4,26
2017-11-02,49,4,298
2017-11-03,40,4,20
2017-11-04,25,3,10
2017-11-05,22,4,1
2017-11-06,44,4,16
2017-11-07,66,7,24
2017-11-08,75,9,23
2017-11-09,76,5,21
2017-11-10,34,5,35
2017-11-11,175,6,6
2017-11-12,6,2,3
2017-11-13,37,9,15
2017-11-14,76,1,29
2017-11-15,42,6,26
2017-11-16,71,8,21
2017-11-17,68,3,13
2017-11-18,22,3,7
2017-11-19,2,10,2
2017-11-20,41,8,11
2017-11-21,51,9,17
2017-11-22,81,16,11
2017-11-23,26,2,6
2017-11-24,2,2,7
2017-11-25,5,7,0
2017-11-26,2,2,4
2017-11-27,29,5,12
2017-11-28,61,4,17
2017-11-29,60,0,21
2017-11-30,52,9,19
2017-12-01,53,3,17
2017-12-02,24,8,8
2017-12-03,5,0,4
2017-12-04,63,6,22
2017-12-05,44,3,19
2017-12-06,63,5,16
2017-12-07,77,2,12
2017-12-08,50,8,10
2017-12-09,19,15,2
2017-12-10,20,5,2
2017-12-11,43,2,11
2017-12-12,50,7,8
2017-12-13,52,7,12
2017-12-14,55,9,21
2017-12-15,83,11,26
2017-12-16,20,5,9
2017-12-17,5,0,1
2017-12-18,58,13,32
2017-12-19,74,6,11
2017-12-20,110,5,22
2017-12-21,74,6,18
2017-12-22,63,4,14
2017-12-23,14,1,12
2017-12-24,3,0,1
2017-12-25,2,3,1
2017-12-26,23,0,2
2017-12-27,21,6,7
2017-12-28,22,6,9
2017-12-29,18,1,7
2017-12-30,6,5,4
2017-12-31,17,1,2
2018-01-01,17,2,2
2018-01-02,33,11,17
2018-01-03,57,9,19
2018-01-04,59,14,33
2018-01-05,62,9,9
2018-01-06,13,0,11
2018-01-07,5,2,2
2018-01-08,17,2,13
2018-01-09,55,5,12
2018-01-10,60,5,11
2018-01-11,74,4,26
2018-01-12,56,10,12
2018-01-13,45,3,6
2018-01-14,3,1,5
2018-01-15,11,20,2
2018-01-16,39,8,16
2018-01-17,56,5,11
2018-01-18,60,3,14
2018-01-19,80,2,22
2018-01-20,18,4,11
2018-01-21,5,2,2
2018-01-22,36,29,13
2018-01-23,96,4,25
2018-01-24,96,5,22
2018-01-25,89,6,20
2018-01-26,98,7,14
2018-01-27,25,11,8
2018-01-28,14,2,6
2018-01-29,76,4,20
2018-01-30,89,4,18
2018-01-31,18,15,17
2018-02-01,91,6,15
2018-02-02,110,5,18
2018-02-03,39,3,8
2018-02-04,15,2,6
2018-02-05,51,4,17
2018-02-06,63,4,26
2018-02-07,64,6,20
2018-02-08,99,2,23
2018-02-09,42,5,15
2018-02-10,15,3,3
2018-02-11,11,2,0
2018-02-12,68,1,22
2018-02-13,54,8,26
2018-02-14,56,1,21
2018-02-15,66,4,17
2018-02-16,85,0,14
2018-02-17,15,1,4
2018-02-18,6,1,5
2018-02-19,13,4,1
2018-02-20,49,3,16
2018-02-21,68,4,17
2018-02-22,55,3,10
2018-02-23,52,6,22
2018-02-24,29,0,14
2018-02-25,7,2,7
2018-02-26,50,5,22
2018-02-27,107,8,25
2018-02-28,49,8,22
2018-03-01,54,8,32
2018-03-02,70,2,29
2018-03-03,6,4,13
2018-03-04,18,2,6
2018-03-05,53,4,12
2018-03-06,63,4,34
2018-03-07,83,2,17
2018-03-08,93,9,23
2018-03-09,72,4,42
2018-03-10,13,5,17
2018-03-11,14,1,3
2018-03-12,53,0,19
2018-03-13,70,3,11
2018-03-14,58,5,15
2018-03-15,76,1,26
2018-03-16,59,6,10
2018-03-17,21,2,16
2018-03-18,15,1,2
2018-03-19,42,1,27
2018-03-20,76,12,44
2018-03-21,62,4,17
2018-03-22,74,14,22
2018-03-23,38,5,33
2018-03-24,6,2,11
2018-03-25,52,1,5
2018-03-26,46,7,15
2018-03-27,80,8,28
2018-03-28,79,6,53
2018-03-29,77,3,18
2018-03-30,76,3,19
2018-03-31,7,9,32
2018-04-01,5,5,0
2018-04-02,46,12,14
2018-04-03,61,8,19
2018-04-04,61,6,17
2018-04-05,62,15,24
2018-04-06,67,9,18
2018-04-07,29,1,9
2018-04-08,2,4,2
2018-04-09,54,11,15
2018-04-10,86,15,33
2018-04-11,84,15,14
2018-04-12,116,6,22
2018-04-13,89,3,11
2018-04-14,20,2,5
2018-04-15,3,3,3
2018-04-16,92,5,21
2018-04-17,138,8,29
2018-04-18,89,7,27
2018-04-19,109,4,34
2018-04-20,99,2,23
2018-04-21,16,3,12
2018-04-22,23,0,9
2018-04-23,66,8,22
2018-04-24,74,8,17
2018-04-25,73,9,30
2018-04-26,77,8,30
2018-04-27,43,25,17
2018-04-28,35,3,15
2018-04-29,12,4,5
2018-04-30,59,7,23
2018-05-01,56,8,42
2018-05-02,65,6,16
2018-05-03,40,5,22
2018-05-04,56,8,34
2018-05-05,25,2,3
2018-05-06,2,1,3
2018-05-07,37,7,11
2018-05-08,74,6,26
2018-05-09,70,9,20
2018-05-10,69,7,26
2018-05-11,53,9,11
2018-05-12,10,0,6
2018-05-13,6,2,21
2018-05-14,57,6,12
2018-05-15,47,10,25
2018-05-16,74,3,28
2018-05-17,85,9,15
2018-05-18,57,5,24
2018-05-19,16,0,7
2018-05-20,6,1,4
2018-05-21,43,4,14
2018-05-22,67,3,10
2018-05-23,55,5,17
2018-05-24,88,5,19
2018-05-25,47,4,17
2018-05-26,17,0,10
2018-05-27,8,2,0
2018-05-28,8,1,1
2018-05-29,59,6,26
2018-05-30,64,6,23
2018-05-31,67,5,22
2018-06-01,71,2,25
2018-06-02,17,4,13
2018-06-03,8,2,2
2018-06-04,90,4,22
2018-06-05,79,5,17
2018-06-06,67,6,35
2018-06-07,73,9,30
2018-06-08,65,3,24
2018-06-09,14,0,6
2018-06-10,1,4,7
2018-06-11,49,4,13
2018-06-12,80,6,21
2018-06-13,105,3,25
2018-06-14,71,12,31
2018-06-15,78,8,23
2018-06-16,19,2,4
2018-06-17,10,6,0
2018-06-18,62,6,18
2018-06-19,93,3,23
2018-06-20,78,6,33
2018-06-21,82,5,21
2018-06-22,97,2,22
2018-06-23,26,1,3
2018-06-24,9,0,2
2018-06-25,63,9,17
2018-06-26,90,5,20
2018-06-27,70,4,15
2018-06-28,77,19,22
2018-06-29,204,23,19
2018-06-30,16,10,7
2018-07-01,5,5,4
2018-07-02,79,14,9
2018-07-03,108,7,11
2018-07-04,24,4,3
2018-07-05,14,1,7
2018-07-06,33,5,18
2018-07-07,6,3,1
2018-07-08,21,2,5
2018-07-09,66,3,15
2018-07-10,67,5,19
2018-07-11,83,7,20
2018-07-12,71,9,16
2018-07-13,70,13,17
2018-07-14,26,1,8
2018-07-15,13,4,2
2018-07-16,68,9,12
2018-07-17,66,6,21
2018-07-18,92,13,29
2018-07-19,87,9,15
2018-07-20,76,8,17
2018-07-21,21,3,5
2018-07-22,12,6,3
2018-07-23,55,2,18
2018-07-24,92,8,23
2018-07-25,69,9,25
2018-07-26,77,3,22
2018-07-27,47,3,31
2018-07-28,15,2,12
2018-07-29,12,4,2
2018-07-30,54,6,21
2018-07-31,78,6,25
2018-08-01,72,7,40
2018-08-02,61,7,30
2018-08-03,60,12,25
2018-08-04,17,10,14
2018-08-05,3,1,4
2018-08-06,67,2,12
2018-08-07,69,4,22
2018-08-08,61,11,3
2018-08-09,131,12,16
2018-08-10,89,14,17
2018-08-11,42,5,4
2018-08-12,12,7,3
2018-08-13,53,4,18
2018-08-14,83,3,27
2018-08-15,69,14,38
2018-08-16,73,7,23
2018-08-17,58,16,24
2018-08-18,21,5,3
2018-08-19,15,3,2
2018-08-20,50,12,17
2018-08-21,90,11,12
2018-08-22,102,14,26
2018-08-23,84,12,24
2018-08-24,85,10,23
2018-08-25,32,4,6
2018-08-26,7,4,2
2018-08-27,54,8,15
2018-08-28,73,3,25
2018-08-29,58,5,39
2018-08-30,69,3,26
2018-08-31,97,4,41
2018-09-01,24,3,3
2018-09-02,4,0,15
2018-09-03,15,4,3
2018-09-04,68,1,15
2018-09-05,87,4,36
2018-09-06,85,0,31
2018-09-07,76,2,39
2018-09-08,33,3,11
2018-09-09,7,0,9
2018-09-10,53,8,17
2018-09-11,77,5,35
2018-09-12,71,10,52
2018-09-13,88,9,37
2018-09-14,57,3,34
2018-09-15,9,3,1
2018-09-16,8,0,4
2018-09-17,70,3,24
2018-09-18,53,10,31
2018-09-19,74,7,26
2018-09-20,65,14,21
2018-09-21,76,10,27
2018-09-22,36,2,6
2018-09-23,13,2,2
2018-09-24,71,4,10
2018-09-25,78,4,27
2018-09-26,73,1,18
2018-09-27,71,3,12
2018-09-28,79,6,33
2018-09-29,38,2,4
2018-09-30,7,1,5
2018-10-01,60,3,15
2018-10-02,67,5,13
2018-10-03,99,2,13
2018-10-04,103,4,22
2018-10-05,69,7,23
2018-10-06,19,2,9
2018-10-07,4,0,1
2018-10-08,100,4,20
2018-10-09,78,8,21
2018-10-10,94,11,11
2018-10-11,95,3,27
2018-10-12,110,3,31
2018-10-13,30,1,5
2018-10-14,13,1,2
2018-10-15,92,3,30
2018-10-16,85,7,26
2018-10-17,70,5,37
2018-10-18,54,6,31
2018-10-19,67,8,27
2018-10-20,15,4,3
2018-10-21,10,6,2
2018-10-22,78,4,23
2018-10-23,88,3,21
2018-10-24,68,7,47
2018-10-25,85,4,49
2018-10-26,95,5,40
2018-10-27,7,1,10
2018-10-28,3,1,1
2018-10-29,46,5,36
2018-10-30,74,4,39
2018-10-31,65,5,44
2018-11-01,56,5,34
2018-11-02,82,7,18
2018-11-03,17,0,8
2018-11-04,11,5,5
2018-11-05,73,3,23
2018-11-06,130,5,41
2018-11-07,58,7,42
2018-11-08,74,9,31
2018-11-09,86,7,28
2018-11-10,36,2,6
2018-11-11,14,1,7
2018-11-12,77,12,21
2018-11-13,82,17,30
2018-11-14,74,6,40
2018-11-15,107,15,26
2018-11-16,99,16,43
2018-11-17,32,12,19
2018-11-18,7,0,7
2018-11-19,64,1,16
2018-11-20,92,7,18
2018-11-21,88,14,16
2018-11-22,29,2,17
2018-11-23,12,3,5
2018-11-24,5,4,2
2018-11-25,5,1,0
2018-11-26,76,8,18
2018-11-27,80,13,53
2018-11-28,88,5,38
2018-11-29,117,9,23
2018-11-30,61,12,47
2018-12-01,47,7,10
2018-12-02,19,2,2
2018-12-03,81,4,26
2018-12-04,101,6,50
2018-12-05,120,11,30
2018-12-06,96,5,35
2018-12-07,82,5,16
2018-12-08,37,7,14
2018-12-09,10,0,7
2018-12-10,68,1,24
2018-12-11,68,8,31
2018-12-12,84,4,31
2018-12-13,120,12,31
2018-12-14,90,8,30
2018-12-15,25,6,12
2018-12-16,2,1,0
2018-12-17,57,2,14
2018-12-18,88,5,15
2018-12-19,61,3,22
2018-12-20,141,5,29
2018-12-21,98,4,22
2018-12-22,23,1,7
2018-12-23,5,2,3
2018-12-24,6,0,5
2018-12-25,1,0,0
2018-12-26,39,1,12
2018-12-27,56,4,13
2018-12-28,30,3,9
2018-12-29,11,5,4
2018-12-30,11,0,5
2018-12-31,11,1,1
2019-01-01,13,0,0
2019-01-02,48,2,9
2019-01-03,58,3,20
2019-01-04,65,5,16
2019-01-05,24,1,8
2019-01-06,9,2,0
2019-01-07,56,4,11
2019-01-08,97,6,22
2019-01-09,90,7,28
2019-01-10,56,13,21
2019-01-11,83,10,32
2019-01-12,26,1,13
2019-01-13,16,2,1
2019-01-14,65,6,14
2019-01-15,87,8,18
2019-01-16,88,10,23
2019-01-17,100,5,41
2019-01-18,97,7,20
2019-01-19,19,2,6
2019-01-20,6,0,3
2019-01-21,19,5,2
2019-01-22,45,3,19
2019-01-23,66,4,12
2019-01-24,95,7,23
2019-01-25,110,5,20
2019-01-26,43,3,9
2019-01-27,7,2,7
2019-01-28,99,6,18
2019-01-29,119,2,24
2019-01-30,124,4,31
2019-01-31,79,3,32
2019-02-01,109,3,25
2019-02-02,47,0,11
2019-02-03,4,0,5
2019-02-04,64,6,9
2019-02-05,104,10,35
2019-02-06,96,3,27
2019-02-07,97,5,24
2019-02-08,168,1,23
2019-02-09,33,0,8
2019-02-10,9,1,8
2019-02-11,70,3,25
2019-02-12,72,5,22
2019-02-13,82,7,20
2019-02-14,96,10,29
2019-02-15,119,9,44
2019-02-16,24,7,7
2019-02-17,15,0,3
2019-02-18,24,2,0
2019-02-19,77,4,19
2019-02-20,114,2,24
2019-02-21,109,4,31
2019-02-22,112,1,25
2019-02-23,33,0,18
2019-02-24,21,1,2
2019-02-25,83,0,17
2019-02-26,141,1,14
2019-02-27,84,2,16
2019-02-28,137,3,27
2019-03-01,103,2,24
2019-03-02,41,3,4
2019-03-03,17,2,3
2019-03-04,73,5,11
2019-03-05,106,10,8
2019-03-06,78,12,26
2019-03-07,69,9,21
2019-03-08,79,4,22
2019-03-09,34,1,7
2019-03-10,39,2,8
2019-03-11,66,7,15
2019-03-12,85,5,34
2019-03-13,104,4,24
2019-03-14,96,3,24
2019-03-15,110,6,25
2019-03-16,21,2,4
2019-03-17,23,3,3
2019-03-18,92,4,9
2019-03-19,124,2,23
2019-03-20,104,4,20
2019-03-21,99,4,25
2019-03-22,97,2,23
2019-03-23,31,0,8
2019-03-24,14,0,4
2019-03-25,72,0,16
2019-03-26,95,3,28
2019-03-27,100,6,24
2019-03-28,77,3,13
2019-03-29,1162,4,32
2019-03-30,247,0,20
2019-03-31,19,3,3
2019-04-01,92,2,25
2019-04-02,126,3,28
2019-04-03,112,8,35
2019-04-04,108,3,25
2019-04-05,108,2,41
2019-04-06,43,1,9
2019-04-07,13,0,10
2019-04-08,95,5,19
2019-04-09,109,2,26
2019-04-10,104,6,21
2019-04-11,114,6,23
2019-04-12,101,4,12
2019-04-13,33,4,10
2019-04-14,22,1,2
2019-04-15,77,1,9
2019-04-16,81,8,16
2019-04-17,71,4,22
2019-04-18,106,4,34
2019-04-19,96,5,51
2019-04-20,27,0,8
2019-04-21,8,3,9
2019-04-22,69,1,19
2019-04-23,75,4,39
2019-04-24,116,6,22
2019-04-25,122,4,26
2019-04-26,80,4,40
2019-04-27,44,3,8
2019-04-28,11,2,2
2019-04-29,56,2,16
2019-04-30,121,9,28
2019-05-01,74,2,15
2019-05-02,98,5,9
2019-05-03,100,3,12
2019-05-04,25,1,2
2019-05-05,10,4,2
2019-05-06,145,5,30
2019-05-07,114,4,21
2019-05-08,85,2,40
2019-05-09,98,4,34
2019-05-10,84,1,26
2019-05-11,135,2,9
2019-05-12,13,3,0
2019-05-13,90,1,17
2019-05-14,97,3,14
2019-05-15,86,5,30
2019-05-16,93,3,26
2019-05-17,102,5,35
2019-05-18,20,6,9
2019-05-19,8,4,1
2019-05-20,170,22,27
2019-05-21,98,19,29
2019-05-22,82,7,26
2019-05-23,109,5,28
2019-05-24,90,6,36
2019-05-25,38,5,4
2019-05-26,6,2,9
2019-05-27,16,1,9
2019-05-28,34,2,26
2019-05-29,120,1,47
2019-05-30,105,6,31
2019-05-31,73,3,34
2019-06-01,36,3,22
2019-06-02,149,4,5
2019-06-03,72,2,26
2019-06-04,107,5,36
2019-06-05,112,1,32
2019-06-06,94,1,47
2019-06-07,109,6,35
2019-06-08,36,2,17
2019-06-09,49,4,12
2019-06-10,78,1,34
2019-06-11,114,3,24
2019-06-12,97,9,25
2019-06-13,123,4,31
2019-06-14,91,2,31
2019-06-15,28,3,5
2019-06-16,8,2,4
2019-06-17,77,1,16
2019-06-18,91,1,29
2019-06-19,103,3,20
2019-06-20,181,6,24
2019-06-21,100,4,25
2019-06-22,44,3,12
2019-06-23,16,0,2
2019-06-24,109,1,29
2019-06-25,85,1,25
2019-06-26,89,1,25
2019-06-27,107,2,27
2019-06-28,114,6,9
2019-06-29,25,1,5
2019-06-30,4,1,5
2019-07-01,106,2,19
2019-07-02,124,1,38
2019-07-03,122,6,15
2019-07-04,84,5,8
2019-07-05,30,4,16
2019-07-06,4,1,8
2019-07-07,7,2,1
2019-07-08,79,4,16
2019-07-09,141,1,25
2019-07-10,125,4,32
2019-07-11,110,5,20
2019-07-12,132,4,17
2019-07-13,32,2,7
2019-07-14,3,2,1
2019-07-15,86,4,18
2019-07-16,116,4,30
2019-07-17,101,3,21
2019-07-18,96,4,20
2019-07-19,130,10,29
2019-07-20,46,5,12
2019-07-21,15,5,4
2019-07-22,115,1,30
2019-07-23,88,1,36
2019-07-24,113,3,38
2019-07-25,120,2,40
2019-07-26,117,4,34
2019-07-27,26,2,8
2019-07-28,10,5,1
2019-07-29,89,1,33
2019-07-30,127,4,28
2019-07-31,138,4,31
2019-08-01,126,9,17
2019-08-02,168,4,27
2019-08-03,51,0,5
2019-08-04,19,1,4
2019-08-05,89,2,23
2019-08-06,85,3,19
2019-08-07,113,5,23
2019-08-08,133,5,15
2019-08-09,122,4,64
2019-08-10,34,2,8
2019-08-11,12,1,2
2019-08-12,111,1,27
2019-08-13,120,8,35
2019-08-14,106,3,45
2019-08-15,115,6,45
2019-08-16,120,4,27
2019-08-17,42,1,5
2019-08-18,19,2,2
2019-08-19,103,5,23
2019-08-20,113,4,27
2019-08-21,90,5,20
2019-08-22,143,3,26
2019-08-23,123,7,34
2019-08-24,19,1,6
2019-08-25,7,3,3
2019-08-26,76,7,36
2019-08-27,102,3,18
2019-08-28,94,2,61
2019-08-29,106,6,54
2019-08-30,94,28,51
2019-08-31,35,1,5
2019-09-01,14,2,3
