,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2023-08-19,-1.7661440000000002,0,1
2023-08-20,0.1454847999999993,1,0
2023-08-21,2.2332851199999997,7,2
2023-08-22,4.897418752,9,4
2023-08-23,0.17641123840000006,1,11
2023-08-24,-1.2910428160000005,4,3
2023-08-25,2.2291447808,12,2
2023-08-26,-1.1308404735999995,2,8
2023-08-27,-0.6134452224000002,1,7
2023-08-28,-0.3828126720000002,28,10
2023-08-29,0.7011495936000001,23,11
2023-08-30,1.5658042368000005,3,6
2023-08-31,3.3551220736000005,6,17
2023-09-01,-1.0837188608,0,7
2023-09-02,-0.4927631360000002,0,3
2023-09-03,-0.3221440512000001,0,0
2023-09-04,-0.20590080000000008,0,12
2023-09-05,0.8400716799999999,1,8
2023-09-06,0.670043648,2,3
2023-09-07,-0.3889516543999999,6,2
2023-09-08,-0.2104895487999998,1,3
2023-09-09,-0.1314774015999999,0,1
2023-09-10,-0.05913600000000002,0,1
2023-09-11,3.9540352,2,7
2023-09-12,4.16264448,3,1
2023-09-13,0.6486855679999999,0,4
2023-09-14,-0.0188570624000004,1,1
2023-09-15,-0.7468693504000004,4,3
2023-09-16,-0.44614400000000026,0,13
2023-09-17,-0.3245952000000002,0,17
2023-09-18,-0.2545228800000001,0,6
2023-09-19,0.7914219520000002,2,4
2023-09-20,-0.3760982015999995,4,3
2023-09-21,-0.1880488959999998,3,1
2023-09-22,0.9126735872000001,1,3
2023-09-23,-0.24606935039999994,0,6
2023-09-24,-0.10553600000000009,0,6
2023-09-25,-0.06842880000000004,3,16
2023-09-26,-0.050526720000000025,0,16
2023-09-27,-0.03992371199999995,3,8
2023-09-28,-0.03289815039999998,1,0
2023-09-29,-0.01692672000000001,1,1
2023-09-30,-0.01438771199999994,0,4
2023-10-01,-0.012469350399999964,0,0
2023-10-02,0.0,2,2
2023-10-03,0.0,2,4
2023-10-04,0.0,3,5
2023-10-05,0.0,2,10
2023-10-06,0.0,2,11
2023-10-07,0.0,0,6
2023-10-08,0.0,0,3
2023-10-09,0.0,1,12
2023-10-10,0.0,2,19
2023-10-11,0.0,5,15
2023-10-12,3.0,0,7
2023-10-13,-0.5999999999999999,1,1
2023-10-14,-0.2400000000000002,0,2
2023-10-15,-0.1440000000000001,0,1
2023-10-16,2.8992,4,9
2023-10-17,0.3233920000000001,2,17
2023-10-18,-0.5012864000000001,3,3
2023-10-19,-0.2747801600000002,0,3
2023-10-20,0.8080368640000001,0,2
2023-10-21,-0.3476160511999999,0,0
2023-10-22,-0.16682240000000012,0,3
2023-10-23,-0.11920896000000009,2,16
2023-10-24,0.9063101440000001,4,4
2023-10-25,-0.2773317631999998,1,4
2023-10-26,0.8871018495999999,4,8
2023-10-27,1.73507328,5,12
2023-10-28,-0.5279877119999999,0,0
2023-10-29,-0.24600535040000016,0,0
2023-10-30,0.8499711999999999,1,10
2023-10-31,0.69033728,2,16
2023-11-01,-0.365888512,1,24
2023-11-02,0.8017463295999999,2,10
2023-11-03,-0.32984115199999997,3,10
2023-11-04,-0.18038077439999994,0,1
2023-11-05,-0.11890350079999998,0,3
2023-11-06,-0.07095552000000002,4,6
2023-11-07,-0.056850431999999965,5,0
2023-11-08,-0.04728586239999991,1,4
2023-11-09,3.9706039296,0,9
2023-11-10,0.1856122880000003,0,22
2023-11-11,-0.5324693504000002,0,0
2023-11-12,-0.27200000000000024,0,2
2023-11-13,-0.1824000000000001,2,10
2023-11-14,-0.13574400000000006,3,7
2023-11-15,-0.10725120000000006,0,1
2023-11-16,0.91186432,5,2
2023-11-17,-0.2744775679999997,0,2
2023-11-18,-0.14426511359999988,0,0
2023-11-19,-0.060469350399999997,0,0
2023-11-20,0.9664,4,1
2023-11-21,0.774464,4,3
2023-11-22,0.6995712,4,2
2023-11-23,-0.3449267200000001,0,3
2023-11-24,0.8240122879999999,0,2
2023-11-25,-0.3196053504,0,1
2023-11-26,-0.15956480000000012,0,8
2023-11-27,-0.11089152000000008,2,6
2023-11-28,-0.08534323199999996,2,0
2023-11-29,0.9306802176000001,4,6
2023-11-30,-0.24728586239999986,1,0
2023-12-01,-0.10939607040000005,0,12
2023-12-02,-0.06238771199999998,0,1
2023-12-03,-0.04606935039999997,0,4
2023-12-04,-0.025536000000000014,0,5
2023-12-05,-0.02042880000000001,4,9
2023-12-06,1.98307328,0,17
2023-12-07,1.585612288,0,13
2023-12-08,-0.5724693504,0,11
2023-12-09,-0.2560000000000002,0,3
2023-12-10,-0.1632000000000001,0,0
2023-12-11,0.881728,1,8
2023-12-12,-0.2919296,1,4
2023-12-13,0.8452889599999999,1,7
2023-12-14,-0.3106288639999999,3,4
2023-12-15,-0.16731412479999988,1,3
2023-12-16,-0.09847470079999998,0,2
2023-12-17,-0.05402880000000002,0,0
2023-12-18,-0.04246272000000002,0,12
2023-12-19,3.965183488,4,11
2023-12-20,0.17060392960000015,0,11
2023-12-21,-0.5343877120000002,0,6
2023-12-22,1.7155306495999998,2,15
2023-12-23,-0.5824,0,9
2023-12-24,-0.29574400000000023,0,0
2023-12-25,-0.20325120000000013,0,0
2023-12-26,-0.1553356800000001,5,7
2023-12-27,0.8744504320000002,0,11
2023-12-28,-0.30512271359999976,5,8
2023-12-29,-0.12632279040000005,4,1
2023-12-30,-0.07677542399999991,0,1
2023-12-31,-0.05853870079999994,0,2
2024-01-01,-0.025536000000000014,0,7
2024-01-02,-0.02042880000000001,3,1
2024-01-03,-0.01692672000000001,3,9
2024-01-04,-0.01438771199999994,1,3
2024-01-05,-0.012469350399999964,4,4
2024-01-06,0.0,1,2
2024-01-07,0.0,0,4
2024-01-08,1.0,1,4
2024-01-09,-0.19999999999999996,5,9
2024-01-10,0.9199999999999999,5,8
2024-01-11,-0.248,4,3
2024-01-12,0.8863999999999999,6,5
2024-01-13,-0.273536,0,0
2024-01-14,-0.1340288000000001,0,1
2024-01-15,0.9095372799999999,0,1
2024-01-16,-0.26841651199999994,4,2
2024-01-17,-0.13493207040000005,2,7
2024-01-18,-0.08281651199999998,3,13
2024-01-19,-0.06299607039999999,2,5
2024-01-20,-0.03992371199999995,0,9
2024-01-21,-0.03289815039999998,0,9
2024-01-22,-0.01692672000000001,5,7
2024-01-23,-0.01438771199999994,3,20
2024-01-24,-0.012469350399999964,2,5
2024-01-25,0.0,0,13
2024-01-26,0.0,0,7
2024-01-27,0.0,0,1
2024-01-28,0.0,0,0
2024-01-29,0.0,1,1
2024-01-30,0.0,4,5
2024-01-31,0.0,0,0
2024-02-01,0.0,2,1
2024-02-02,0.0,2,2
2024-02-03,0.0,0,0
2024-02-04,0.0,0,0
2024-02-05,0.0,2,2
2024-02-06,0.0,4,4
2024-02-07,0.0,0,9
2024-02-08,0.0,4,7
2024-02-09,0.0,4,0
2024-02-10,0.0,0,0
2024-02-11,0.0,0,1
2024-02-12,0.0,0,1
2024-02-13,0.0,1,8
2024-02-14,0.0,1,5
2024-02-15,0.0,4,5
2024-02-16,3.0,1,3
2024-02-17,0.40000000000000013,0,8
2024-02-18,-0.44000000000000017,0,2
2024-02-19,0.7759999999999998,1,10
2024-02-20,0.6512,3,3
2024-02-21,-0.3902080000000001,1,1
2024-02-22,-0.21482240000000016,6,0
2024-02-23,-0.1528089600000001,1,2
2024-02-24,-0.11922585599999985,0,0
2024-02-25,-0.09776056319999986,0,0
2024-02-26,-0.049824870399999985,0,2
2024-02-27,-0.03131443199999995,1,0
2024-02-28,-0.026857062399999902,0,0
2024-02-29,0.9875306496,1,1
2024-03-01,-0.19999999999999996,0,2
2024-03-02,-0.08000000000000007,0,0
2024-03-03,-0.048000000000000036,0,1
2024-03-04,-0.03360000000000001,1,2
2024-03-05,-0.025536000000000014,1,1
2024-03-06,-0.02042880000000001,1,0
2024-03-07,-0.01692672000000001,0,1
2024-03-08,-0.01438771199999994,2,3
2024-03-09,-0.012469350399999964,0,1
2024-03-10,0.0,0,2
2024-03-11,0.0,4,6
2024-03-12,0.0,9,0
2024-03-13,0.0,1,4
2024-03-14,0.0,1,7
2024-03-15,1.0,0,15
2024-03-16,-0.19999999999999996,0,0
2024-03-17,-0.08000000000000007,0,1
2024-03-18,-0.048000000000000036,3,7
2024-03-19,-0.03360000000000001,0,3
2024-03-20,-0.025536000000000014,1,6
2024-03-21,-0.02042880000000001,3,5
2024-03-22,-0.01692672000000001,0,2
2024-03-23,-0.01438771199999994,0,9
2024-03-24,-0.012469350399999964,0,0
2024-03-25,0.0,1,30
2024-03-26,0.0,1,14
2024-03-27,1.0,1,12
2024-03-28,-0.19999999999999996,0,3
2024-03-29,0.9199999999999999,4,5
2024-03-30,-0.248,0,1
2024-03-31,-0.11360000000000009,0,0
2024-04-01,0.926464,0,4
2024-04-02,-0.2540288,4,4
2024-04-03,-0.1224627200000001,2,5
2024-04-04,-0.08281651199999998,0,2
2024-04-05,-0.06299607039999999,0,3
2024-04-06,-0.03992371199999995,0,2
2024-04-07,-0.03289815039999998,0,1
2024-04-08,-0.01692672000000001,0,3
2024-04-09,1.985612288,1,4
2024-04-10,-0.4124693503999999,3,5
2024-04-11,-0.16000000000000014,3,1
2024-04-12,-0.09600000000000007,1,4
2024-04-13,-0.06720000000000002,0,0
2024-04-14,-0.05107200000000003,0,3
2024-04-15,-0.04085760000000002,1,0
2024-04-16,-0.03385344000000002,1,0
2024-04-17,-0.02877542399999988,3,0
2024-04-18,-0.02493870079999993,4,0
2024-04-19,0.0,1,0
